"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001505","GO:0001505","regulation of neurotransmitter levels","17/176","213/18723",1.81475287070546e-11,4.44779430856538e-09,3.43500591220612e-09,"NLGN1/LIN7A/CASK/LIN7B/LIN7C/APBA1/NOS1/GRIN3A/FLOT1/DNAJC5/SCRIB/SLC30A1/SNAP23/STX4/SLC38A1/RAB5A/ITGB1",17
"GO:0035088","GO:0035088","establishment or maintenance of apical/basal cell polarity","10/176","49/18723",2.49451511476585e-11,5.17324057646826e-09,3.99526388421608e-09,"DLG2/DLG3/DLG1/LIN7A/LIN7B/LIN7C/PARD3/SCRIB/MARK2/DLG5",10
"GO:0061245","GO:0061245","establishment or maintenance of bipolar cell polarity","10/176","49/18723",2.49451511476585e-11,5.17324057646826e-09,3.99526388421608e-09,"DLG2/DLG3/DLG1/LIN7A/LIN7B/LIN7C/PARD3/SCRIB/MARK2/DLG5",10
"GO:0072659","GO:0072659","protein localization to plasma membrane","18/176","284/18723",2.05260788375855e-10,3.9527363247236e-08,3.05267548426647e-08,"DLG1/FLOT1/EFR3B/SCRIB/ZDHHC5/EFR3A/PALM/STX7/NUMB/ARF6/STX4/ANK3/EZR/RAB11A/CDH1/EPHA2/FLOT2/ITGB1",18
"GO:0006887","GO:0006887","exocytosis","19/176","352/18723",9.4843851646959e-10,1.70466016026801e-07,1.31649921794867e-07,"NLGN1/LIN7A/CASK/LIN7B/LIN7C/APBA1/GRIN3A/LYN/DNAJC5/SCRIB/LLGL1/SNAP23/LAMP1/STX4/RAB11A/SCAMP1/RAB5A/RAB9A/YKT6",19
"GO:0007269","GO:0007269","neurotransmitter secretion","13/176","145/18723",1.12834233351708e-09,1.78941819480121e-07,1.38195735956458e-07,"NLGN1/LIN7A/CASK/LIN7B/LIN7C/APBA1/GRIN3A/DNAJC5/SCRIB/SLC30A1/SNAP23/STX4/RAB5A",13
"GO:0099643","GO:0099643","signal release from synapse","13/176","145/18723",1.12834233351708e-09,1.78941819480121e-07,1.38195735956458e-07,"NLGN1/LIN7A/CASK/LIN7B/LIN7C/APBA1/GRIN3A/DNAJC5/SCRIB/SLC30A1/SNAP23/STX4/RAB5A",13
"GO:1904375","GO:1904375","regulation of protein localization to cell periphery","12/176","125/18723",2.29039690775772e-09,3.43050559073045e-07,2.6493596979794e-07,"DLG1/EPB41/ZDHHC5/STX7/HRAS/NUMB/ARF6/STX4/EZR/RAB11A/EPHA2/ITGB1",12
"GO:0097120","GO:0097120","receptor localization to synapse","9/176","57/18723",2.85024716154191e-09,4.04435070921946e-07,3.12342874544592e-07,"NLGN1/DLG2/DLG3/DLG1/NETO1/SCRIB/STX7/HRAS/RAB11A",9
"GO:0098657","GO:0098657","import into cell","15/176","227/18723",4.02205483739567e-09,5.42172992080937e-07,4.1871707728256e-07,"DLG1/KCNJ12/KCNJ4/NOS1/FLOT1/SLC19A1/SLC30A1/SLC12A2/SLC7A5/SLC39A6/SLC39A14/SLC38A1/SLC3A2/ITGB1/SLC39A10",15
"GO:0060047","GO:0060047","heart contraction","15/176","241/18723",9.05898751870237e-09,1.11310751738886e-06,8.59646520925801e-07,"DLG1/KCNJ12/SNTA1/DMD/NOS1/ADRA1D/ADRB1/CXADR/CAV1/GJA1/GJD3/DSC2/DSG2/ATP2B1/RPS6KA2",15
"GO:0008016","GO:0008016","regulation of heart contraction","14/176","206/18723",9.45613870727431e-09,1.11310751738886e-06,8.59646520925801e-07,"DLG1/KCNJ12/SNTA1/DMD/NOS1/ADRA1D/ADRB1/CXADR/CAV1/GJA1/GJD3/DSC2/DSG2/ATP2B1",14
"GO:0035418","GO:0035418","protein localization to synapse","9/176","65/18723",9.49609528929664e-09,1.11310751738886e-06,8.59646520925801e-07,"NLGN1/NLGN2/DLG2/GRIN2A/DLG1/GRIN2C/SCRIB/HRAS/RAB11A",9
"GO:0003015","GO:0003015","heart process","15/176","251/18723",1.56487580583204e-08,1.75787715521799e-06,1.35759839646306e-06,"DLG1/KCNJ12/SNTA1/DMD/NOS1/ADRA1D/ADRB1/CXADR/CAV1/GJA1/GJD3/DSC2/DSG2/ATP2B1/RPS6KA2",15
"GO:1904377","GO:1904377","positive regulation of protein localization to cell periphery","9/176","69/18723",1.63018525620261e-08,1.7579917802889e-06,1.35768692074474e-06,"DLG1/EPB41/ZDHHC5/ARF6/STX4/EZR/RAB11A/EPHA2/ITGB1",9
"GO:0042391","GO:0042391","regulation of membrane potential","19/176","434/18723",2.87161703724502e-08,2.91285523860649e-06,2.24958131421351e-06,"NLGN1/NLGN2/GRIN2A/DLG1/MPP2/SNTA1/DMD/MTMR2/GRIN1/GRIN3A/NETO1/ADRB1/GRIN2C/CXADR/CAV1/GJA1/DSC2/DSG2/ANK3",19
"GO:0003018","GO:0003018","vascular process in circulatory system","15/176","263/18723",2.91717698228395e-08,2.91285523860649e-06,2.24958131421351e-06,"SNTA1/NOS1/ADRA1D/ADRB1/OCLN/CAV1/GJA1/SLC19A1/SLC38A2/SLC12A2/ATP2B1/SLC7A5/SLC38A1/FERMT2/YES1",15
"GO:0120192","GO:0120192","tight junction assembly","9/176","74/18723",3.05389993305849e-08,2.94046936411631e-06,2.27090754420665e-06,"DLG1/MPP7/MPDZ/OCLN/PARD3/GJA1/LSR/MARVELD2/EPHA2",9
"GO:0086001","GO:0086001","cardiac muscle cell action potential","9/176","76/18723",3.87368086833379e-08,3.60118745552686e-06,2.78117631853511e-06,"DLG1/SNTA1/DMD/CXADR/CAV1/GJA1/DSC2/DSG2/ANK3",9
"GO:0043297","GO:0043297","apical junction assembly","9/176","78/18723",4.87938023160411e-08,4.38493636813489e-06,3.38646108705717e-06,"DLG1/MPP7/CTNNA1/OCLN/PARD3/GJA1/DLG5/MARVELD2/EPHA2",9
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","10/176","104/18723",5.07878398982031e-08,4.4169037537276e-06,3.41114931472481e-06,"DLG1/ZDHHC5/STX7/NUMB/ARF6/STX4/EZR/RAB11A/EPHA2/ITGB1",10
"GO:0099003","GO:0099003","vesicle-mediated transport in synapse","13/176","200/18723",5.5147518013965e-08,4.64617839267655e-06,3.58821679709286e-06,"NLGN1/NLGN2/CASK/APBA1/GRIN3A/DNAJC5/SCRIB/NUMB/SNAP23/ARF6/STX4/RAB11A/RAB5A",13
"GO:1905477","GO:1905477","positive regulation of protein localization to membrane","10/176","106/18723",6.09877368966268e-08,4.8415052380786e-06,3.73906659414316e-06,"DLG1/ZDHHC5/HRAS/ARF6/STX4/ANK3/EZR/RAB11A/EPHA2/ITGB1",10
"GO:0120193","GO:0120193","tight junction organization","9/176","80/18723",6.10575586404571e-08,4.8415052380786e-06,3.73906659414316e-06,"DLG1/MPP7/MPDZ/OCLN/PARD3/GJA1/LSR/MARVELD2/EPHA2",9
"GO:0006814","GO:0006814","sodium ion transport","14/176","245/18723",8.39486544387534e-08,6.46644492476797e-06,4.99399814977005e-06,"DLG1/SNTA1/DMD/NOS1/UTRN/NETO1/SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/ANK3/SLC38A1/SLC3A2",14
"GO:1905475","GO:1905475","regulation of protein localization to membrane","12/176","175/18723",1.01462011447276e-07,7.59837730171821e-06,5.86818300124887e-06,"DLG1/ZDHHC5/STX7/HRAS/NUMB/ARF6/STX4/ANK3/EZR/RAB11A/EPHA2/ITGB1",12
"GO:0030010","GO:0030010","establishment of cell polarity","11/176","143/18723",1.09300331588804e-07,7.74586788667871e-06,5.98208913003689e-06,"MPP7/KIF26B/WWC1/PARD3/SCRIB/GJA1/MARK2/LLGL1/ARF6/FLOT2/ITGB1",11
"GO:0099072","GO:0099072","regulation of postsynaptic membrane neurotransmitter receptor levels","8/176","62/18723",1.14052453128468e-07,7.74586788667871e-06,5.98208913003689e-06,"DLG3/DLG1/SCRIB/HRAS/NUMB/CTNND1/RAB11A/FLOT2",8
"GO:1903078","GO:1903078","positive regulation of protein localization to plasma membrane","8/176","62/18723",1.14052453128468e-07,7.74586788667871e-06,5.98208913003689e-06,"DLG1/ZDHHC5/ARF6/STX4/EZR/RAB11A/EPHA2/ITGB1",8
"GO:0098739","GO:0098739","import across plasma membrane","12/176","177/18723",1.14923855885441e-07,7.74586788667871e-06,5.98208913003689e-06,"DLG1/KCNJ12/KCNJ4/SLC19A1/SLC30A1/SLC12A2/SLC7A5/SLC39A6/SLC39A14/SLC3A2/ITGB1/SLC39A10",12
"GO:0035725","GO:0035725","sodium ion transmembrane transport","12/176","178/18723",1.2223524393644e-07,8.03771262567417e-06,6.20747914008415e-06,"DLG1/SNTA1/DMD/NOS1/UTRN/NETO1/SLC6A8/SLC6A15/SLC12A2/SLC4A7/ANK3/SLC3A2",12
"GO:1903522","GO:1903522","regulation of blood circulation","14/176","256/18723",1.44342429528458e-07,9.26540928592195e-06,7.15562219567141e-06,"DLG1/KCNJ12/SNTA1/DMD/NOS1/ADRA1D/ADRB1/CXADR/CAV1/GJA1/GJD3/DSC2/DSG2/ATP2B1",14
"GO:0010959","GO:0010959","regulation of metal ion transport","17/176","406/18723",3.01058658699477e-07,1.88756777640416e-05,1.457757715808e-05,"DLG1/CASK/SNTA1/DMD/NOS1/UTRN/GRIN1/NETO1/CRHR1/EPB41/LYN/CAV1/GJA1/SLC30A1/ATP2B1/ANK3/ITGB1",17
"GO:1903829","GO:1903829","positive regulation of cellular protein localization","14/176","276/18723",3.61170634344136e-07,2.21299097770861e-05,1.70908017878637e-05,"DLG1/ERBB4/EPB41/ZDHHC5/HRAS/ARF6/STX4/ANK3/EZR/RAB11A/CDH1/EPHA2/FERMT2/ITGB1",14
"GO:0048167","GO:0048167","regulation of synaptic plasticity","12/176","198/18723",3.87789561673863e-07,2.31479383539826e-05,1.78770193909798e-05,"NLGN1/GRIN2A/MPP2/GRIN1/NETO1/SHANK2/GRIN2C/KRAS/HRAS/STX4/RAB11A/RAB5A",12
"GO:0023061","GO:0023061","signal release","18/176","463/18723",3.94957405149554e-07,2.31479383539826e-05,1.78770193909798e-05,"NLGN1/NLGN2/LIN7A/CASK/LIN7B/LIN7C/APBA1/GRIN3A/CRHR1/LYN/DNAJC5/SCRIB/GJA1/SLC30A1/SNAP23/STX4/MAP4K4/RAB5A",18
"GO:0071709","GO:0071709","membrane assembly","7/176","50/18723",4.08881326609252e-07,2.34541288625222e-05,1.81134885561725e-05,"NLGN1/NLGN2/FLOT1/CAV1/STX4/ANK3/FLOT2",7
"GO:0051588","GO:0051588","regulation of neurotransmitter transport","9/176","100/18723",4.26457081923476e-07,2.39526727680352e-05,1.84985111413297e-05,"NLGN1/CASK/APBA1/NOS1/GRIN3A/FLOT1/SLC30A1/RAB5A/ITGB1",9
"GO:0006816","GO:0006816","calcium ion transport","17/176","422/18723",5.16682737385123e-07,2.84280951018427e-05,2.19548540182121e-05,"GRIN2A/CASK/DMD/NOS1/GRIN1/GRIN3A/CRHR1/GRIN2C/EPB41/LYN/CAV1/GJA1/LCK/SLC30A1/ATP2B1/PANX1/SLC3A2",17
"GO:0016079","GO:0016079","synaptic vesicle exocytosis","9/176","105/18723",6.47166944343705e-07,3.48952416390126e-05,2.69493940191968e-05,"NLGN1/CASK/APBA1/GRIN3A/DNAJC5/SCRIB/SNAP23/STX4/RAB5A",9
"GO:0060078","GO:0060078","regulation of postsynaptic membrane potential","10/176","137/18723",6.83503296229577e-07,3.61318605222537e-05,2.79044276561838e-05,"NLGN1/NLGN2/GRIN2A/MPP2/MTMR2/GRIN1/GRIN3A/NETO1/ADRB1/GRIN2C",10
"GO:0007265","GO:0007265","Ras protein signal transduction","15/176","337/18723",7.21294930873694e-07,3.73963679545285e-05,2.88809994588698e-05,"CTNNAL1/FLOT1/KRAS/RHOB/PHACTR4/RAB35/PSD3/NRAS/HRAS/ARF6/MAP4K4/SPRY4/RAB9A/ITGB1/RAB4A",15
"GO:0044091","GO:0044091","membrane biogenesis","7/176","55/18723",7.98511255858101e-07,4.06186102979894e-05,3.13695186511882e-05,"NLGN1/NLGN2/FLOT1/CAV1/STX4/ANK3/FLOT2",7
"GO:0035633","GO:0035633","maintenance of blood-brain barrier","6/176","35/18723",8.2008430861466e-07,4.09434684449097e-05,3.1620404725922e-05,"DMD/OCLN/GJA1/LSR/SLC12A2/ITGB1",6
"GO:1903539","GO:1903539","protein localization to postsynaptic membrane","6/176","36/18723",9.76466622608718e-07,4.78646184464201e-05,3.69655689860296e-05,"GRIN2A/DLG1/GRIN2C/SCRIB/HRAS/RAB11A",6
"GO:0031644","GO:0031644","regulation of nervous system process","10/176","144/18723",1.08115648037296e-06,5.20499619836694e-05,4.01978856800321e-05,"NLGN1/NLGN2/DLGAP2/DLGAP1/DLGAP4/MTMR2/GRIN1/NETO1/DLGAP3/PARD3",10
"GO:0062237","GO:0062237","protein localization to postsynapse","6/176","37/18723",1.15641978496966e-06,5.42876508413393e-05,4.19260398891805e-05,"GRIN2A/DLG1/GRIN2C/SCRIB/HRAS/RAB11A",6
"GO:0099504","GO:0099504","synaptic vesicle cycle","11/176","181/18723",1.16790940237303e-06,5.42876508413393e-05,4.19260398891805e-05,"NLGN1/NLGN2/CASK/APBA1/GRIN3A/DNAJC5/SCRIB/SNAP23/ARF6/STX4/RAB5A",11
"GO:0031623","GO:0031623","receptor internalization","9/176","113/18723",1.20569204078803e-06,5.50939956265173e-05,4.25487753198701e-05,"MTMR2/MAGI2/FLOT1/SCRIB/CAV1/NUMB/EZR/RAB5A/ITGB1",9
"GO:0048169","GO:0048169","regulation of long-term neuronal synaptic plasticity","5/176","22/18723",1.60399787506296e-06,7.20729711861622e-05,5.56615402960444e-05,"NETO1/KRAS/HRAS/RAB11A/RAB5A",5
"GO:0030865","GO:0030865","cortical cytoskeleton organization","7/176","61/18723",1.6372461328456e-06,7.23609110516676e-05,5.58839145947988e-05,"NLGN1/DLG1/EPB41/RHOB/LLGL1/ARF6/EZR",7
"GO:0099601","GO:0099601","regulation of neurotransmitter receptor activity","7/176","63/18723",2.04379520857641e-06,8.8872127134226e-05,6.86354316224812e-05,"NLGN1/NLGN2/DLGAP2/DLGAP1/DLGAP4/NETO1/DLGAP3",7
"GO:0050808","GO:0050808","synapse organization","16/176","426/18723",2.81395343910966e-06,0.000120419340822851,9.29991629500235e-05,"NLGN1/NLGN2/DLG3/DLG1/SNTA1/MTMR2/ERBB4/DLGAP3/SHANK2/PALM/DLG5/EFNB2/ARF6/PPFIBP1/ANK3/CDH1",16
"GO:0001738","GO:0001738","morphogenesis of a polarized epithelium","8/176","94/18723",2.90880035306354e-06,0.000122533214872802,9.46316956967054e-05,"DLG3/ERBB4/MAGI2/SCRIB/DLG5/VANGL2/VANGL1/ROR2",8
"GO:1902305","GO:1902305","regulation of sodium ion transmembrane transport","7/176","68/18723",3.44256861479071e-06,0.000142787153622704,0.000110273695871353,"DLG1/SNTA1/DMD/NOS1/UTRN/NETO1/ANK3",7
"GO:0098911","GO:0098911","regulation of ventricular cardiac muscle cell action potential","4/176","12/18723",3.52191515709476e-06,0.000143864897932235,0.000111106031590645,"DLG1/CAV1/DSC2/DSG2",4
"GO:1901888","GO:1901888","regulation of cell junction assembly","11/176","204/18723",3.74516709206805e-06,0.000150701051943514,0.000116385553937323,"NLGN1/NLGN2/FLOT1/CAV1/GJA1/DLG5/ARF6/MAP4K4/PEAK1/EPHA2/FERMT2",11
"GO:0043112","GO:0043112","receptor metabolic process","10/176","166/18723",3.9177037507819e-06,0.000155325431060412,0.000119956935279359,"MTMR2/MAGI2/FLOT1/SCRIB/CAV1/LAMTOR1/NUMB/EZR/RAB5A/ITGB1",10
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","17/176","491/18723",4.05343369882255e-06,0.000158377641333704,0.000122314139683768,"NLGN1/NLGN2/DLG1/KCNJ12/KCNJ4/SNTA1/KCNA4/DMD/NOS1/UTRN/NETO1/CRHR1/LYN/CAV1/SLC30A1/ANK3/ITGB1",17
"GO:0070830","GO:0070830","bicellular tight junction assembly","7/176","70/18723",4.19028716249639e-06,0.00016138591700129,0.000124637413645381,"DLG1/MPP7/OCLN/PARD3/GJA1/MARVELD2/EPHA2",7
"GO:0051656","GO:0051656","establishment of organelle localization","15/176","390/18723",4.37814298199236e-06,0.000166246105344386,0.000128390909093861,"NLGN1/DLG1/LIN7A/F8A1/PARD3/LYN/SCRIB/GJA1/LLGL1/SNAP23/LAMP1/EZR/RAB11A/ITGB1/YKT6",15
"GO:0060079","GO:0060079","excitatory postsynaptic potential","8/176","100/18723",4.63567089423311e-06,0.00017358012126184,0.000134054927321536,"NLGN1/NLGN2/GRIN2A/MPP2/MTMR2/GRIN1/NETO1/GRIN2C",8
"GO:0098901","GO:0098901","regulation of cardiac muscle cell action potential","5/176","27/18723",4.73350966681741e-06,0.000174815644681366,0.00013500911493821,"DLG1/CXADR/CAV1/DSC2/DSG2",5
"GO:0001508","GO:0001508","action potential","9/176","134/18723",4.97746976330724e-06,0.000181341330836167,0.000140048864748531,"DLG1/SNTA1/DMD/CXADR/CAV1/GJA1/DSC2/DSG2/ANK3",9
"GO:0035331","GO:0035331","negative regulation of hippo signaling","4/176","13/18723",5.04989520700899e-06,0.00018152689970795,0.00014019217851879,"WWC1/SHANK2/MARK3/DLG5",4
"GO:0030100","GO:0030100","regulation of endocytosis","11/176","211/18723",5.17689098141875e-06,0.00018364339586717,0.00014182673630535,"NLGN1/MTMR2/MAGI2/FLOT1/SCRIB/CAV1/NUMB/ARF6/RAB5C/RAB5A/RAB4A",11
"GO:0006936","GO:0006936","muscle contraction","14/176","347/18723",5.35844150794852e-06,0.000187615042927652,0.000144894016441862,"DLG1/KCNJ12/SNTA1/DMD/SNTB1/NOS1/UTRN/DTNA/CAV1/GJA1/SLC6A8/DSC2/DSG2/ATP2B1",14
"GO:0002027","GO:0002027","regulation of heart rate","8/176","103/18723",5.78305565622773e-06,0.000199886128835769,0.000154370905371369,"SNTA1/DMD/ADRA1D/ADRB1/CAV1/GJD3/DSC2/DSG2",8
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","8/176","104/18723",6.21527127304252e-06,0.000212105966482565,0.000163808215563999,"NLGN1/NLGN2/FLOT1/CAV1/DLG5/MAP4K4/EPHA2/FERMT2",8
"GO:0099565","GO:0099565","chemical synaptic transmission, postsynaptic","8/176","106/18723",7.16208344712948e-06,0.000241362212168264,0.000186402645505554,"NLGN1/NLGN2/GRIN2A/MPP2/MTMR2/GRIN1/NETO1/GRIN2C",8
"GO:1904062","GO:1904062","regulation of cation transmembrane transport","14/176","357/18723",7.40867902995883e-06,0.000246590106972457,0.000190440118534874,"NLGN1/NLGN2/DLG1/SNTA1/DMD/NOS1/UTRN/NETO1/CRHR1/LYN/CAV1/SLC30A1/ANK3/ITGB1",14
"GO:0031503","GO:0031503","protein-containing complex localization","11/176","220/18723",7.70511144316857e-06,0.000253329029887591,0.000195644549866334,"NLGN1/DLG2/DLG3/DLG1/NETO1/SCRIB/STX7/HRAS/NUMB/EZR/RAB11A",11
"GO:0098659","GO:0098659","inorganic cation import across plasma membrane","8/176","108/18723",8.22800607197489e-06,0.000264079813929099,0.000203947318425643,"DLG1/KCNJ12/KCNJ4/SLC30A1/SLC12A2/SLC39A6/SLC39A14/SLC39A10",8
"GO:0099587","GO:0099587","inorganic ion import across plasma membrane","8/176","108/18723",8.22800607197489e-06,0.000264079813929099,0.000203947318425643,"DLG1/KCNJ12/KCNJ4/SLC30A1/SLC12A2/SLC39A6/SLC39A14/SLC39A10",8
"GO:0006865","GO:0006865","amino acid transport","9/176","143/18723",8.46053084433373e-06,0.000268348131250867,0.000207243715295258,"APBA1/GJA1/SLC38A2/SLC6A15/SLC12A2/SLC7A5/SLC38A1/SLC3A2/ITGB1",9
"GO:0097106","GO:0097106","postsynaptic density organization","5/176","31/18723",9.66384117934277e-06,0.000302179944287324,0.000233371829533159,"NLGN1/NLGN2/DLG3/DLG1/ARF6",5
"GO:2001257","GO:2001257","regulation of cation channel activity","10/176","184/18723",9.75135576891586e-06,0.000302179944287324,0.000233371829533159,"NLGN1/NLGN2/DLG1/DMD/NOS1/NETO1/CRHR1/CAV1/ANK3/ITGB1",10
"GO:0043113","GO:0043113","receptor clustering","6/176","53/18723",1.0083355565971e-05,0.000308917347793838,0.000238575087434098,"NLGN1/DLG2/DLG3/DLG1/MAGI2/SCRIB",6
"GO:0086002","GO:0086002","cardiac muscle cell action potential involved in contraction","6/176","54/18723",1.12559737041744e-05,0.000340967473106226,0.000263327214510431,"DLG1/SNTA1/CAV1/GJA1/DSC2/DSG2",6
"GO:0045055","GO:0045055","regulated exocytosis","11/176","230/18723",1.17188168468655e-05,0.00035104366910166,0.000271109002609357,"NLGN1/CASK/APBA1/GRIN3A/LYN/DNAJC5/SCRIB/SNAP23/LAMP1/STX4/RAB5A",11
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","12/176","278/18723",1.3134186234431e-05,0.000389118308659625,0.000300513827318733,"NLGN1/NLGN2/DLG1/DMD/NOS1/UTRN/NETO1/CRHR1/CAV1/GJA1/ANK3/ITGB1",12
"GO:0099084","GO:0099084","postsynaptic specialization organization","5/176","33/18723",1.32949145447534e-05,0.000389598800137557,0.000300884908118104,"NLGN1/NLGN2/DLG3/DLG1/ARF6",5
"GO:0031529","GO:0031529","ruffle organization","6/176","56/18723",1.39322084705826e-05,0.000403884236953663,0.000311917468645301,"NLGN1/ARHGEF26/PLEKHA1/CAV1/HRAS/ARF6",6
"GO:0016264","GO:0016264","gap junction assembly","4/176","17/18723",1.63219660599843e-05,0.000463200215765449,0.000357726857248188,"CTNNA1/CAV1/GJA1/GJD3",4
"GO:0098962","GO:0098962","regulation of postsynaptic neurotransmitter receptor activity","4/176","17/18723",1.63219660599843e-05,0.000463200215765449,0.000357726857248188,"DLGAP2/DLGAP1/DLGAP4/DLGAP3",4
"GO:0045785","GO:0045785","positive regulation of cell adhesion","15/176","437/18723",1.69571727955268e-05,0.00047621393600771,0.00036777727839421,"UTRN/PLEKHA2/KIF26B/DUSP10/FLOT1/LYN/CAV1/LCK/STX4/MAP4K4/ANK3/EFNB1/FERMT2/FLOT2/YES1",15
"GO:0034331","GO:0034331","cell junction maintenance","5/176","35/18723",1.79105678403161e-05,0.000492723376505022,0.000380527424147639,"NLGN2/DLG3/DLG1/ARF6/FERMT2",5
"GO:0086005","GO:0086005","ventricular cardiac muscle cell action potential","5/176","35/18723",1.79105678403161e-05,0.000492723376505022,0.000380527424147639,"DLG1/SNTA1/CAV1/DSC2/DSG2",5
"GO:0002028","GO:0002028","regulation of sodium ion transport","7/176","90/18723",2.23069774760849e-05,0.000607470820964898,0.000469146214223243,"DLG1/SNTA1/DMD/NOS1/UTRN/NETO1/ANK3",7
"GO:0034113","GO:0034113","heterotypic cell-cell adhesion","6/176","61/18723",2.29186240105104e-05,0.000611768419132041,0.000472465224520997,"FLOT1/CXADR/LCK/DSC2/DSG2/ITGB1",6
"GO:0043954","GO:0043954","cellular component maintenance","6/176","61/18723",2.29186240105104e-05,0.000611768419132041,0.000472465224520997,"NLGN2/DLG3/DLG1/MTMR2/ARF6/FERMT2",6
"GO:0050806","GO:0050806","positive regulation of synaptic transmission","9/176","164/18723",2.53754928185635e-05,0.000670709104302423,0.000517984776007416,"NLGN1/NLGN2/GRIN2A/MPP2/SHANK2/GRIN2C/FLOT1/STX4/ROR2",9
"GO:0030011","GO:0030011","maintenance of cell polarity","4/176","19/18723",2.61935338803189e-05,0.000685609391663494,0.000529492182067152,"LIN7A/LIN7B/LIN7C/DLG5",4
"GO:0006882","GO:0006882","cellular zinc ion homeostasis","5/176","38/18723",2.70688827140837e-05,0.00070170872881894,0.000541925607373053,"LCK/SLC30A1/SLC39A6/SLC39A14/SLC39A10",5
