"","ID","Description","Count","GeneRatio","geneID"
"GO:1990512","GO:1990512","Cry-Per complex",0,"0/85",""
"GO:0000439","GO:0000439","transcription factor TFIIH core complex",0,"0/85",""
"GO:0005669","GO:0005669","transcription factor TFIID complex",0,"0/85",""
"GO:0005672","GO:0005672","transcription factor TFIIA complex",0,"0/85",""
"GO:0005673","GO:0005673","transcription factor TFIIE complex",0,"0/85",""
"GO:0005674","GO:0005674","transcription factor TFIIF complex",0,"0/85",""
"GO:0005675","GO:0005675","transcription factor TFIIH holo complex",0,"0/85",""
"GO:0008230","GO:0008230","ecdysone receptor holocomplex",0,"0/85",""
"GO:0016513","GO:0016513","core-binding factor complex",0,"0/85",""
"GO:0016602","GO:0016602","CCAAT-binding factor complex",0,"0/85",""
"GO:0030232","GO:0030232","insulin control element activator complex",0,"0/85",""
"GO:0030907","GO:0030907","MBF transcription complex",0,"0/85",""
"GO:0032444","GO:0032444","activin responsive factor complex",0,"0/85",""
"GO:0033276","GO:0033276","transcription factor TFTC complex",0,"0/85",""
"GO:0033309","GO:0033309","SBF transcription complex",0,"0/85",""
"GO:0034718","GO:0034718","SMN-Gemin2 complex",0,"0/85",""
"GO:0035189","GO:0035189","Rb-E2F complex",0,"0/85",""
"GO:0035976","GO:0035976","transcription factor AP-1 complex",0,"0/85",""
"GO:0036488","GO:0036488","CHOP-C/EBP complex",0,"0/85",""
"GO:0062071","GO:0062071","Pi Mi complex",0,"0/85",""
"GO:0070514","GO:0070514","SRF-myogenin-E12 complex",0,"0/85",""
"GO:0070721","GO:0070721","ISGF3 complex",0,"0/85",""
"GO:0070847","GO:0070847","core mediator complex",0,"0/85",""
"GO:0070985","GO:0070985","transcription factor TFIIK complex",0,"0/85",""
"GO:0071144","GO:0071144","heteromeric SMAD protein complex",0,"0/85",""
"GO:0071943","GO:0071943","Myc-Max complex",0,"0/85",""
"GO:0089716","GO:0089716","Pip2-Oaf1 complex",0,"0/85",""
"GO:0097221","GO:0097221","M/G1 phase-specific MADS box-forkhead transcription factor complex",0,"0/85",""
"GO:0099053","GO:0099053","activating signal cointegrator 1 complex",0,"0/85",""
"GO:0140552","GO:0140552","TEAD-YAP complex",0,"0/85",""
"GO:1990378","GO:1990378","upstream stimulatory factor complex",0,"0/85",""
"GO:1990433","GO:1990433","CSL-Notch-Mastermind transcription factor complex",0,"0/85",""
"GO:1990513","GO:1990513","CLOCK-BMAL transcription complex",0,"0/85",""
"GO:1990589","GO:1990589","ATF4-CREB1 transcription factor complex",0,"0/85",""
"GO:1990590","GO:1990590","ATF1-ATF4 transcription factor complex",0,"0/85",""
"GO:1990617","GO:1990617","CHOP-ATF4 complex",0,"0/85",""
"GO:1990647","GO:1990647","C/EBP complex",0,"0/85",""
"GO:1990664","GO:1990664","Nkx-2.5 complex",0,"0/85",""
"GO:1990907","GO:1990907","beta-catenin-TCF complex",0,"0/85",""
"GO:0000126","GO:0000126","transcription factor TFIIIB complex",0,"0/85",""
"GO:0000127","GO:0000127","transcription factor TFIIIC complex",0,"0/85",""
"GO:0034734","GO:0034734","transcription factor TFIIIC1 complex",0,"0/85",""
"GO:0034735","GO:0034735","transcription factor TFIIIC2 complex",0,"0/85",""
"GO:0034740","GO:0034740","TFIIIC-TOP1-SUB1 complex",0,"0/85",""
"GO:0070264","GO:0070264","transcription factor TFIIIE complex",0,"0/85",""
"GO:0031610","GO:0031610","nuclear proteasome regulatory particle, base subcomplex",0,"0/85",""
"GO:0031612","GO:0031612","cytosolic proteasome regulatory particle, base subcomplex",0,"0/85",""
"GO:0031613","GO:0031613","nuclear proteasome regulatory particle, lid subcomplex",0,"0/85",""
"GO:0031615","GO:0031615","cytosolic proteasome regulatory particle, lid subcomplex",0,"0/85",""
"GO:0031604","GO:0031604","nuclear proteasome core complex, alpha-subunit complex",0,"0/85",""
"GO:0031606","GO:0031606","cytosolic proteasome core complex, alpha-subunit complex",0,"0/85",""
"GO:0031607","GO:0031607","nuclear proteasome core complex, beta-subunit complex",0,"0/85",""
"GO:0031609","GO:0031609","cytosolic proteasome core complex, beta-subunit complex",0,"0/85",""
"GO:0005870","GO:0005870","actin capping protein of dynactin complex",0,"0/85",""
"GO:0005872","GO:0005872","minus-end kinesin complex",0,"0/85",""
"GO:0005873","GO:0005873","plus-end kinesin complex",0,"0/85",""
"GO:0016938","GO:0016938","kinesin I complex",0,"0/85",""
"GO:0016939","GO:0016939","kinesin II complex",0,"0/85",""
"GO:0005858","GO:0005858","axonemal dynein complex",0,"0/85",""
"GO:0005868","GO:0005868","cytoplasmic dynein complex",0,"0/85",""
"GO:0034990","GO:0034990","nuclear mitotic cohesin complex",0,"0/85",""
"GO:0034991","GO:0034991","nuclear meiotic cohesin complex",0,"0/85",""
"GO:0005859","GO:0005859","muscle myosin complex",0,"0/85",""
"GO:0031474","GO:0031474","myosin IV complex",0,"0/85",""
"GO:0031475","GO:0031475","myosin V complex",0,"0/85",""
"GO:0031476","GO:0031476","myosin VI complex",0,"0/85",""
"GO:0031477","GO:0031477","myosin VII complex",0,"0/85",""
"GO:0031478","GO:0031478","myosin VIII complex",0,"0/85",""
"GO:0031479","GO:0031479","myosin IX complex",0,"0/85",""
"GO:0031480","GO:0031480","myosin X complex",0,"0/85",""
"GO:0031481","GO:0031481","myosin XI complex",0,"0/85",""
"GO:0031482","GO:0031482","myosin XII complex",0,"0/85",""
"GO:0031483","GO:0031483","myosin XIII complex",0,"0/85",""
"GO:0031484","GO:0031484","myosin XIV complex",0,"0/85",""
"GO:0031485","GO:0031485","myosin XV complex",0,"0/85",""
"GO:0031486","GO:0031486","myosin XVI complex",0,"0/85",""
"GO:0031487","GO:0031487","myosin XVII complex",0,"0/85",""
"GO:0031488","GO:0031488","myosin XVIII complex",0,"0/85",""
"GO:0042385","GO:0042385","myosin III complex",0,"0/85",""
"GO:0045160","GO:0045160","myosin I complex",0,"0/85",""
"GO:0071737","GO:0071737","IgG B cell receptor complex",0,"0/85",""
"GO:0071740","GO:0071740","IgD B cell receptor complex",0,"0/85",""
"GO:0071744","GO:0071744","IgE B cell receptor complex",0,"0/85",""
"GO:0071747","GO:0071747","IgA B cell receptor complex",0,"0/85",""
"GO:0071755","GO:0071755","IgM B cell receptor complex",0,"0/85",""
"GO:0071736","GO:0071736","IgG immunoglobulin complex, circulating",0,"0/85",""
"GO:0071739","GO:0071739","IgD immunoglobulin complex, circulating",0,"0/85",""
"GO:0071743","GO:0071743","IgE immunoglobulin complex, circulating",0,"0/85",""
"GO:0071746","GO:0071746","IgA immunoglobulin complex, circulating",0,"0/85",""
"GO:0071754","GO:0071754","IgM immunoglobulin complex, circulating",0,"0/85",""
"GO:0071741","GO:0071741","IgD immunoglobulin complex, GPI-anchored",0,"0/85",""
"GO:0008540","GO:0008540","proteasome regulatory particle, base subcomplex",0,"0/85",""
"GO:0008541","GO:0008541","proteasome regulatory particle, lid subcomplex",0,"0/85",""
"GO:0031598","GO:0031598","nuclear proteasome regulatory particle",0,"0/85",""
"GO:0031600","GO:0031600","cytosolic proteasome regulatory particle",0,"0/85",""
"GO:0009517","GO:0009517","PSII associated light-harvesting complex II",0,"0/85",""
"GO:0009518","GO:0009518","PSI associated light-harvesting complex I",0,"0/85",""
"GO:0030078","GO:0030078","light-harvesting complex, core complex",0,"0/85",""
"GO:0030079","GO:0030079","light-harvesting complex, peripheral complex",0,"0/85",""
"GO:0031009","GO:0031009","plastid ADPG pyrophosphorylase complex",0,"0/85",""
"GO:0000783","GO:0000783","nuclear telomere cap complex",0,"0/85",""
"GO:0043769","GO:0043769","Tpg-containing telomere binding complex",0,"0/85",""
"GO:0043505","GO:0043505","CENP-A containing nucleosome",0,"0/85",""
"GO:0140573","GO:0140573","histone H3-containing nucleosome",0,"0/85",""
"GO:0043600","GO:0043600","cytoplasmic replisome",0,"0/85",""
"GO:0043601","GO:0043601","nuclear replisome",0,"0/85",""
"GO:1990077","GO:1990077","primosome complex",0,"0/85",""
"GO:1990078","GO:1990078","replication inhibiting complex",0,"0/85",""
"GO:0000811","GO:0000811","GINS complex",0,"0/85",""
"GO:0071162","GO:0071162","CMG complex",0,"0/85",""
"GO:0005656","GO:0005656","nuclear pre-replicative complex",0,"0/85",""
"GO:0036389","GO:0036389","bacterial pre-replicative complex",0,"0/85",""
"GO:1990098","GO:1990098","core primosome complex",0,"0/85",""
"GO:1990099","GO:1990099","pre-primosome complex",0,"0/85",""
"GO:1990100","GO:1990100","DnaB-DnaC complex",0,"0/85",""
"GO:1990101","GO:1990101","DnaA-oriC complex",0,"0/85",""
"GO:1990102","GO:1990102","DnaA-DiaA complex",0,"0/85",""
"GO:1990103","GO:1990103","DnaA-HU complex",0,"0/85",""
"GO:0034358","GO:0034358","plasma lipoprotein particle",0,"0/85",""
"GO:0042567","GO:0042567","insulin-like growth factor ternary complex",0,"0/85",""
"GO:0042568","GO:0042568","insulin-like growth factor binary complex",0,"0/85",""
"GO:0034752","GO:0034752","cytosolic aryl hydrocarbon receptor complex",0,"0/85",""
"GO:0034753","GO:0034753","nuclear aryl hydrocarbon receptor complex",0,"0/85",""
"GO:0098666","GO:0098666","G protein-coupled serotonin receptor complex",0,"0/85",""
"GO:0005892","GO:0005892","acetylcholine-gated channel complex",0,"0/85",""
"GO:0005893","GO:0005893","interleukin-2 receptor complex",0,"0/85",""
"GO:0005894","GO:0005894","interleukin-3 receptor complex",0,"0/85",""
"GO:0005895","GO:0005895","interleukin-5 receptor complex",0,"0/85",""
"GO:0005896","GO:0005896","interleukin-6 receptor complex",0,"0/85",""
"GO:0005897","GO:0005897","interleukin-9 receptor complex",0,"0/85",""
"GO:0005898","GO:0005898","interleukin-13 receptor complex",0,"0/85",""
"GO:0005899","GO:0005899","insulin receptor complex",0,"0/85",""
"GO:0005900","GO:0005900","oncostatin-M receptor complex",0,"0/85",""
"GO:0008305","GO:0008305","integrin complex",1,"1/85","ITGB3"
"GO:0016516","GO:0016516","interleukin-4 receptor complex",0,"0/85",""
"GO:0019815","GO:0019815","B cell receptor complex",0,"0/85",""
"GO:0030526","GO:0030526","granulocyte macrophage colony-stimulating factor receptor complex",0,"0/85",""
"GO:0030876","GO:0030876","interleukin-20 receptor complex",0,"0/85",""
"GO:0030988","GO:0030988","high molecular weight kininogen receptor complex",0,"0/85",""
"GO:0032002","GO:0032002","interleukin-28 receptor complex",0,"0/85",""
"GO:0035354","GO:0035354","Toll-like receptor 1-Toll-like receptor 2 protein complex",0,"0/85",""
"GO:0035355","GO:0035355","Toll-like receptor 2-Toll-like receptor 6 protein complex",0,"0/85",""
"GO:0035631","GO:0035631","CD40 receptor complex",0,"0/85",""
"GO:0038139","GO:0038139","ERBB4-EGFR complex",0,"0/85",""
"GO:0038140","GO:0038140","ERBB4-ERBB3 complex",0,"0/85",""
"GO:0038141","GO:0038141","ERBB4-ERBB4 complex",0,"0/85",""
"GO:0038142","GO:0038142","EGFR:ERBB2 complex",0,"0/85",""
"GO:0038143","GO:0038143","ERBB3:ERBB2 complex",0,"0/85",""
"GO:0038144","GO:0038144","ERBB4:ERBB2 complex",0,"0/85",""
"GO:0038197","GO:0038197","type I interferon receptor complex",0,"0/85",""
"GO:0042022","GO:0042022","interleukin-12 receptor complex",0,"0/85",""
"GO:0042101","GO:0042101","T cell receptor complex",0,"0/85",""
"GO:0043384","GO:0043384","pre-T cell receptor complex",0,"0/85",""
"GO:0045092","GO:0045092","interleukin-18 receptor complex",0,"0/85",""
"GO:0045323","GO:0045323","interleukin-1 receptor complex",0,"0/85",""
"GO:0048179","GO:0048179","activin receptor complex",0,"0/85",""
"GO:0070021","GO:0070021","transforming growth factor beta ligand-receptor complex",0,"0/85",""
"GO:0070110","GO:0070110","ciliary neurotrophic factor receptor complex",0,"0/85",""
"GO:0070724","GO:0070724","BMP receptor complex",0,"0/85",""
"GO:0072536","GO:0072536","interleukin-23 receptor complex",0,"0/85",""
"GO:0097648","GO:0097648","G protein-coupled receptor complex",0,"0/85",""
"GO:0098878","GO:0098878","neurotransmitter receptor complex",2,"2/85","DLG4/GRIN2B"
"GO:1990712","GO:1990712","HFE-transferrin receptor complex",1,"1/85","HFE"
"GO:1990779","GO:1990779","glycoprotein Ib-IX-V complex",0,"0/85",""
"GO:1902711","GO:1902711","GABA-A receptor complex",3,"3/85","GABRA5/GABRB3/GABRQ"
"GO:1902712","GO:1902712","G protein-coupled GABA receptor complex",0,"0/85",""
"GO:1903767","GO:1903767","sweet taste receptor complex",0,"0/85",""
"GO:0005947","GO:0005947","mitochondrial alpha-ketoglutarate dehydrogenase complex",0,"0/85",""
"GO:0005962","GO:0005962","mitochondrial isocitrate dehydrogenase complex (NAD+)",0,"0/85",""
"GO:0045244","GO:0045244","succinate-CoA ligase complex (GDP-forming)",0,"0/85",""
"GO:0009361","GO:0009361","succinate-CoA ligase complex (ADP-forming)",0,"0/85",""
"GO:0045241","GO:0045241","cytosolic alpha-ketoglutarate dehydrogenase complex",0,"0/85",""
"GO:0045252","GO:0045252","oxoglutarate dehydrogenase complex",0,"0/85",""
"GO:0045243","GO:0045243","cytosolic isocitrate dehydrogenase complex (NAD+)",0,"0/85",""
"GO:0005750","GO:0005750","mitochondrial respiratory chain complex III",0,"0/85",""
"GO:0045276","GO:0045276","plasma membrane respiratory chain complex III",0,"0/85",""
"GO:0005751","GO:0005751","mitochondrial respiratory chain complex IV",0,"0/85",""
"GO:0045278","GO:0045278","plasma membrane respiratory chain complex IV",0,"0/85",""
"GO:0016011","GO:0016011","dystroglycan complex",0,"0/85",""
"GO:0016013","GO:0016013","syntrophin complex",1,"1/85","SNTG2"
"GO:0016014","GO:0016014","dystrobrevin complex",0,"0/85",""
"GO:0034665","GO:0034665","integrin alpha1-beta1 complex",0,"0/85",""
"GO:0034666","GO:0034666","integrin alpha2-beta1 complex",0,"0/85",""
"GO:0034667","GO:0034667","integrin alpha3-beta1 complex",0,"0/85",""
"GO:0034668","GO:0034668","integrin alpha4-beta1 complex",0,"0/85",""
"GO:0034669","GO:0034669","integrin alpha4-beta7 complex",0,"0/85",""
"GO:0034674","GO:0034674","integrin alpha5-beta1 complex",0,"0/85",""
"GO:0034675","GO:0034675","integrin alpha6-beta1 complex",0,"0/85",""
"GO:0034676","GO:0034676","integrin alpha6-beta4 complex",0,"0/85",""
"GO:0034677","GO:0034677","integrin alpha7-beta1 complex",0,"0/85",""
"GO:0034678","GO:0034678","integrin alpha8-beta1 complex",0,"0/85",""
"GO:0034679","GO:0034679","integrin alpha9-beta1 complex",0,"0/85",""
"GO:0034680","GO:0034680","integrin alpha10-beta1 complex",0,"0/85",""
"GO:0034681","GO:0034681","integrin alpha11-beta1 complex",0,"0/85",""
"GO:0034682","GO:0034682","integrin alphav-beta1 complex",0,"0/85",""
"GO:0034683","GO:0034683","integrin alphav-beta3 complex",1,"1/85","ITGB3"
"GO:0034684","GO:0034684","integrin alphav-beta5 complex",0,"0/85",""
"GO:0034685","GO:0034685","integrin alphav-beta6 complex",0,"0/85",""
"GO:0034686","GO:0034686","integrin alphav-beta8 complex",0,"0/85",""
"GO:0034687","GO:0034687","integrin alphaL-beta2 complex",0,"0/85",""
"GO:0034688","GO:0034688","integrin alphaM-beta2 complex",0,"0/85",""
"GO:0034689","GO:0034689","integrin alphaX-beta2 complex",0,"0/85",""
"GO:0034690","GO:0034690","integrin alphaD-beta2 complex",0,"0/85",""
"GO:0034691","GO:0034691","integrin alphaE-beta7 complex",0,"0/85",""
"GO:0070442","GO:0070442","integrin alphaIIb-beta3 complex",0,"0/85",""
"GO:0140366","GO:0140366","galectin lattice",0,"0/85",""
"GO:1990724","GO:1990724","galectin complex",0,"0/85",""
"GO:0090733","GO:0090733","tenascin complex",0,"0/85",""
"GO:1990971","GO:1990971","EMILIN complex",0,"0/85",""
"GO:1990972","GO:1990972","multimerin complex",0,"0/85",""
"GO:0140497","GO:0140497","mannan polymerase II complex",0,"0/85",""
"GO:0140498","GO:0140498","mannan polymerase I complex",0,"0/85",""
"GO:0000836","GO:0000836","Hrd1p ubiquitin ligase complex",0,"0/85",""
"GO:0000837","GO:0000837","Doa10p ubiquitin ligase complex",0,"0/85",""
"GO:1990389","GO:1990389","CUE1-UBC7 ubiquitin-conjugating enzyme complex",0,"0/85",""
"GO:0035032","GO:0035032","phosphatidylinositol 3-kinase complex, class III",0,"0/85",""
"GO:0097651","GO:0097651","phosphatidylinositol 3-kinase complex, class I",0,"0/85",""
"GO:0097652","GO:0097652","phosphatidylinositol 3-kinase complex, class II",0,"0/85",""
"GO:0034998","GO:0034998","oligosaccharyltransferase I complex",0,"0/85",""
"GO:0034999","GO:0034999","oligosaccharyltransferase II complex",0,"0/85",""
"GO:0035000","GO:0035000","oligosaccharyltransferase III complex",0,"0/85",""
"GO:0009522","GO:0009522","photosystem I",0,"0/85",""
"GO:0009523","GO:0009523","photosystem II",0,"0/85",""
"GO:0033176","GO:0033176","proton-transporting V-type ATPase complex",0,"0/85",""
"GO:0033177","GO:0033177","proton-transporting two-sector ATPase complex, proton-transporting domain",0,"0/85",""
"GO:0033178","GO:0033178","proton-transporting two-sector ATPase complex, catalytic domain",0,"0/85",""
"GO:0045259","GO:0045259","proton-transporting ATP synthase complex",0,"0/85",""
"GO:1990490","GO:1990490","archaeal proton-transporting A-type ATPase complex",0,"0/85",""
"GO:0016473","GO:0016473","sodium ion-transporting F-type ATPase complex",0,"0/85",""
"GO:0016474","GO:0016474","sodium ion-transporting V-type ATPase complex",0,"0/85",""
"GO:0030118","GO:0030118","clathrin coat",0,"0/85",""
"GO:0030119","GO:0030119","AP-type membrane coat adaptor complex",0,"0/85",""
"GO:0030120","GO:0030120","vesicle coat",1,"1/85","DIPK2A"
"GO:0030123","GO:0030123","AP-3 adaptor complex",0,"0/85",""
"GO:0030124","GO:0030124","AP-4 adaptor complex",0,"0/85",""
"GO:0030131","GO:0030131","clathrin adaptor complex",0,"0/85",""
"GO:0044599","GO:0044599","AP-5 adaptor complex",0,"0/85",""
"GO:1902500","GO:1902500","vacuolar HOPS complex",0,"0/85",""
"GO:1902502","GO:1902502","multivesicular body HOPS complex",0,"0/85",""
"GO:0030905","GO:0030905","retromer, tubulation complex",0,"0/85",""
"GO:0030906","GO:0030906","retromer, cargo-selective complex",0,"0/85",""
"GO:0045271","GO:0045271","respiratory chain complex I",0,"0/85",""
"GO:0071685","GO:0071685","NADH dehydrogenase complex (plastoquinone)",0,"0/85",""
"GO:0070032","GO:0070032","synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex",0,"0/85",""
"GO:0070033","GO:0070033","synaptobrevin 2-SNAP-25-syntaxin-1a-complexin II complex",0,"0/85",""
"GO:0070044","GO:0070044","synaptobrevin 2-SNAP-25-syntaxin-1a complex",0,"0/85",""
"GO:0070045","GO:0070045","synaptobrevin 2-SNAP-25-syntaxin-2 complex",0,"0/85",""
"GO:0070046","GO:0070046","synaptobrevin 2-SNAP-25-syntaxin-3 complex",0,"0/85",""
"GO:0070047","GO:0070047","synaptobrevin 2-SNAP-25-syntaxin-4 complex",0,"0/85",""
"GO:0070048","GO:0070048","endobrevin-SNAP-25-syntaxin-1a complex",0,"0/85",""
"GO:0070049","GO:0070049","endobrevin-SNAP-25-syntaxin-2 complex",0,"0/85",""
"GO:0070065","GO:0070065","cellubrevin-VAMP4-syntaxin-16 complex",0,"0/85",""
"GO:0070066","GO:0070066","cellubrevin-VAMP4-endobrevin-syntaxin-6 complex",0,"0/85",""
"GO:0070067","GO:0070067","syntaxin-6-syntaxin-16-Vti1a complex",0,"0/85",""
"GO:0070068","GO:0070068","VAMP4-syntaxin-6-syntaxin-16-Vti1a complex",0,"0/85",""
"GO:0070355","GO:0070355","synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a-complexin II complex",0,"0/85",""
"GO:0070356","GO:0070356","synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Rab3a complex",0,"0/85",""
"GO:0070554","GO:0070554","synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex",0,"0/85",""
"GO:0070766","GO:0070766","endobrevin-synaptobrevin 2-alpha-SNAP-NSF-syntaxin-4 complex",0,"0/85",""
"GO:0070768","GO:0070768","synaptotagmin-synaptobrevin 2-SNAP-25-syntaxin-1a-syntaxin-1b-Unc13 complex",0,"0/85",""
"GO:0097654","GO:0097654","platelet SNARE complex",0,"0/85",""
"GO:0031207","GO:0031207","Sec62/Sec63 complex",0,"0/85",""
"GO:0017059","GO:0017059","serine C-palmitoyltransferase complex",0,"0/85",""
"GO:0097582","GO:0097582","dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt2p dimer complex",0,"0/85",""
"GO:0097583","GO:0097583","dolichyl-phosphate-mannose-protein mannosyltransferase Pmt1p-Pmt3p dimer complex",0,"0/85",""
"GO:0097584","GO:0097584","dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt2p dimer complex",0,"0/85",""
"GO:0097585","GO:0097585","dolichyl-phosphate-mannose-protein mannosyltransferase Pmt5p-Pmt3p dimer complex",0,"0/85",""
"GO:0097586","GO:0097586","dolichyl-phosphate-mannose-protein mannosyltransferase Pmt4p homodimer complex",0,"0/85",""
"GO:0033179","GO:0033179","proton-transporting V-type ATPase, V0 domain",0,"0/85",""
"GO:0045263","GO:0045263","proton-transporting ATP synthase complex, coupling factor F(o)",0,"0/85",""
"GO:0033180","GO:0033180","proton-transporting V-type ATPase, V1 domain",0,"0/85",""
"GO:0045261","GO:0045261","proton-transporting ATP synthase complex, catalytic core F(1)",0,"0/85",""
"GO:0042825","GO:0042825","TAP complex",0,"0/85",""
"GO:0061779","GO:0061779","Tapasin-ERp57 complex",0,"0/85",""
"GO:0000274","GO:0000274","mitochondrial proton-transporting ATP synthase, stator stalk",0,"0/85",""
"GO:0045266","GO:0045266","plasma membrane proton-transporting ATP synthase, stator stalk",0,"0/85",""
"GO:0005754","GO:0005754","mitochondrial proton-transporting ATP synthase, catalytic core",0,"0/85",""
"GO:0045268","GO:0045268","plasma membrane proton-transporting ATP synthase, catalytic core",0,"0/85",""
"GO:0005756","GO:0005756","mitochondrial proton-transporting ATP synthase, central stalk",0,"0/85",""
"GO:0045270","GO:0045270","plasma membrane proton-transporting ATP synthase, central stalk",0,"0/85",""
"GO:0005579","GO:0005579","membrane attack complex",0,"0/85",""
"GO:0005757","GO:0005757","mitochondrial permeability transition pore complex",0,"0/85",""
"GO:0036053","GO:0036053","glomerular endothelium fenestra",0,"0/85",""
"GO:0062136","GO:0062136","low-density lipoprotein receptor complex",0,"0/85",""
"GO:0005784","GO:0005784","Sec61 translocon complex",0,"0/85",""
"GO:0071261","GO:0071261","Ssh1 translocon complex",0,"0/85",""
"GO:0000148","GO:0000148","1,3-beta-D-glucan synthase complex",0,"0/85",""
"GO:0000222","GO:0000222","plasma membrane proton-transporting V-type ATPase, V0 domain",0,"0/85",""
"GO:0000223","GO:0000223","plasma membrane proton-transporting V-type ATPase, V1 domain",0,"0/85",""
"GO:0001518","GO:0001518","voltage-gated sodium channel complex",1,"1/85","SCN1A"
"GO:0002095","GO:0002095","caveolar macromolecular signaling complex",0,"0/85",""
"GO:0005834","GO:0005834","heterotrimeric G-protein complex",0,"0/85",""
"GO:0005889","GO:0005889","potassium:proton exchanging ATPase complex",0,"0/85",""
"GO:0005890","GO:0005890","sodium:potassium-exchanging ATPase complex",0,"0/85",""
"GO:0005891","GO:0005891","voltage-gated calcium channel complex",0,"0/85",""
"GO:0005922","GO:0005922","connexin complex",0,"0/85",""
"GO:0008076","GO:0008076","voltage-gated potassium channel complex",3,"3/85","DPP6/CNTNAP2/DPP10"
"GO:0008282","GO:0008282","inward rectifying potassium channel",0,"0/85",""
"GO:0009324","GO:0009324","D-amino-acid dehydrogenase complex",0,"0/85",""
"GO:0009921","GO:0009921","auxin efflux carrier complex",0,"0/85",""
"GO:0016010","GO:0016010","dystrophin-associated glycoprotein complex",1,"1/85","SNTG2"
"GO:0016012","GO:0016012","sarcoglycan complex",0,"0/85",""
"GO:0016027","GO:0016027","inaD signaling complex",0,"0/85",""
"GO:0016342","GO:0016342","catenin complex",1,"1/85","CDH10"
"GO:0016600","GO:0016600","flotillin complex",0,"0/85",""
"GO:0016935","GO:0016935","glycine-gated chloride channel complex",0,"0/85",""
"GO:0019183","GO:0019183","histamine-gated chloride channel complex",0,"0/85",""
"GO:0030094","GO:0030094","plasma membrane-derived photosystem I",0,"0/85",""
"GO:0030096","GO:0030096","plasma membrane-derived thylakoid photosystem II",0,"0/85",""
"GO:0030122","GO:0030122","AP-2 adaptor complex",0,"0/85",""
"GO:0030132","GO:0030132","clathrin coat of coated pit",0,"0/85",""
"GO:0030936","GO:0030936","transmembrane collagen trimer",0,"0/85",""
"GO:0031264","GO:0031264","death-inducing signaling complex",0,"0/85",""
"GO:0031913","GO:0031913","contractile vacuole pore",0,"0/85",""
"GO:0032997","GO:0032997","Fc receptor complex",0,"0/85",""
"GO:0033181","GO:0033181","plasma membrane proton-transporting V-type ATPase complex",0,"0/85",""
