"","ID","Description","Count","GeneRatio","geneID"
"GO:0019674","GO:0019674","NAD metabolic process",0,"0/85",""
"GO:0019748","GO:0019748","secondary metabolic process",0,"0/85",""
"GO:0032259","GO:0032259","methylation",6,"6/85","DNMT3A/DNMT3B/JARID2/NSUN2/TET1/TET3"
"GO:0032963","GO:0032963","collagen metabolic process",0,"0/85",""
"GO:0042440","GO:0042440","pigment metabolic process",0,"0/85",""
"GO:0042445","GO:0042445","hormone metabolic process",4,"4/85","DIO2/DIO3/HFE/SLC16A2"
"GO:0044237","GO:0044237","cellular metabolic process",51,"51/85","AVPR1A/BDNF/CA2/CHD2/CIRBP/DHCR24/DIO2/DIO3/DLG4/DLX1/DNMT3A/DNMT3B/DPYD/EN2/EPHX2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/NTSR1/PAH/RELN/RARB/SFSWAP/SLC1A1/SLC16A2/SOX5/SOX9/TBL1X/NEMF/TRIP12/RAI1/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/FEV/NSUN2/TSHZ3/CHD8/TET1/CEP41/IQGAP3/UPP2/TET3/DIPK2A/LRRTM3"
"GO:0044238","GO:0044238","primary metabolic process",52,"52/85","AVPR1A/BDNF/CHD2/CIRBP/DHCR24/DIO2/DLG4/DLX1/DNMT3A/DNMT3B/DPP6/DPYD/EN2/EPHX2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/NTSR1/PAH/RELN/RARB/SFSWAP/SLC1A1/SLC16A2/SOX5/SOX9/TBL1X/NEMF/TRIP12/RAI1/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/FEV/NSUN2/TSHZ3/DPP10/CHD8/TET1/DDHD1/CEP41/IQGAP3/UPP2/TET3/DIPK2A/LRRTM3"
"GO:0044281","GO:0044281","small molecule metabolic process",11,"11/85","AVPR1A/CA2/DHCR24/DPYD/EPHX2/NTSR1/PAH/SLC16A2/SOX9/DIP2A/UPP2"
"GO:0045730","GO:0045730","respiratory burst",0,"0/85",""
"GO:0046034","GO:0046034","ATP metabolic process",0,"0/85",""
"GO:0051189","GO:0051189","prosthetic group metabolic process",0,"0/85",""
"GO:0061984","GO:0061984","catabolite repression",0,"0/85",""
"GO:0070085","GO:0070085","glycosylation",2,"2/85","TET1/TET3"
"GO:0070988","GO:0070988","demethylation",3,"3/85","JARID2/TET1/TET3"
"GO:0071704","GO:0071704","organic substance metabolic process",54,"54/85","AVPR1A/BDNF/CHD2/CIRBP/DHCR24/DIO2/DIO3/DLG4/DLX1/DNMT3A/DNMT3B/DPP6/DPYD/EN2/EPHX2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/NTSR1/PAH/RELN/RARB/SFSWAP/SLC1A1/SLC16A2/SOX5/SOX9/TBL1X/NEMF/TRIP12/RAI1/MYT1L/CIC/DIP2A/HEY1/SIN3A/FOXP1/FEV/NSUN2/TSHZ3/DPP10/CHD8/TET1/DDHD1/CEP41/IQGAP3/UPP2/TET3/DIPK2A/LRRTM3/MIR486-1"
"GO:0140651","GO:0140651","futile creatine cycle",0,"0/85",""
"GO:1901275","GO:1901275","tartrate metabolic process",0,"0/85",""
"GO:1901286","GO:1901286","iron-sulfur-molybdenum cofactor metabolic process",0,"0/85",""
"GO:1901764","GO:1901764","phosphinothricin metabolic process",0,"0/85",""
"GO:1901902","GO:1901902","tyrocidine metabolic process",0,"0/85",""
"GO:1902421","GO:1902421","hydrogen metabolic process",0,"0/85",""
"GO:1990845","GO:1990845","adaptive thermogenesis",2,"2/85","DIO2/OXTR"
"GO:0043610","GO:0043610","regulation of carbohydrate utilization",0,"0/85",""
"GO:0000920","GO:0000920","septum digestion after cytokinesis",0,"0/85",""
"GO:0001775","GO:0001775","cell activation",4,"4/85","HFE/ITGB3/MEF2C/FOXP1"
"GO:0001906","GO:0001906","cell killing",0,"0/85",""
"GO:0006276","GO:0006276","plasmid maintenance",0,"0/85",""
"GO:0006457","GO:0006457","protein folding",0,"0/85",""
"GO:0006903","GO:0006903","vesicle targeting",0,"0/85",""
"GO:0006928","GO:0006928","movement of cell or subcellular component",12,"12/85","BDNF/ITGB3/MEF2C/RELN/RYR2/SCN1A/SOX9/USH2A/NRXN3/NRXN1/LAMC3/FOXP1"
"GO:0006949","GO:0006949","syncytium formation",0,"0/85",""
"GO:0007017","GO:0007017","microtubule-based process",0,"0/85",""
"GO:0007034","GO:0007034","vacuolar transport",0,"0/85",""
"GO:0007049","GO:0007049","cell cycle",6,"6/85","DHCR24/DNMT3A/SOX9/SIN3A/NSUN2/IQGAP3"
"GO:0007059","GO:0007059","chromosome segregation",0,"0/85",""
"GO:0007154","GO:0007154","cell communication",41,"41/85","AVPR1A/BDNF/CA2/DHCR24/DLG4/DLX1/GABRA5/GABRB3/GLRA2/GRIN2B/HFE/ITGB3/MEF2C/MTNR1A/MTNR1B/NTSR1/OXTR/RELN/RARB/RYR2/SCN1A/SLC1A1/SOX9/TBL1X/GPR50/NRXN1/NRXN2/IL1RAPL1/HEY1/CNTNAP2/FOXP1/NLGN3/NSUN2/GABRQ/NLGN4X/TSHZ3/CHD8/SHANK3/IQGAP3/PTCHD1/DIPK2A"
"GO:0007155","GO:0007155","cell adhesion",16,"16/85","CDH10/DLG4/HFE/ITGB3/PCDH9/RELN/SOX9/USH2A/NRXN3/NRXN1/NRXN2/LAMC3/IL1RAPL1/CNTNAP2/NLGN3/NLGN4X"
"GO:0007163","GO:0007163","establishment or maintenance of cell polarity",0,"0/85",""
"GO:0007165","GO:0007165","signal transduction",38,"38/85","AVPR1A/BDNF/CA2/DHCR24/DLG4/DLX1/GABRA5/GABRB3/GLRA2/GRIN2B/HFE/ITGB3/MEF2C/MTNR1A/MTNR1B/NTSR1/OXTR/RELN/RARB/RYR2/SLC1A1/SOX9/TBL1X/GPR50/NRXN1/NRXN2/IL1RAPL1/HEY1/FOXP1/NLGN3/NSUN2/GABRQ/NLGN4X/CHD8/SHANK3/IQGAP3/PTCHD1/DIPK2A"
"GO:0007272","GO:0007272","ensheathment of neurons",1,"1/85","RARB"
"GO:0008037","GO:0008037","cell recognition",1,"1/85","CNTNAP2"
"GO:0008219","GO:0008219","cell death",19,"19/85","BDNF/DHCR24/DIO3/DLX1/DNMT3A/EN2/GABRA5/GRIN2B/MEF2C/MTNR1B/NTSR1/RARB/RYR2/SLC1A1/SOX9/SIN3A/FOXP1/CHD8/DIPK2A"
"GO:0008283","GO:0008283","cell population proliferation",14,"14/85","AVPR1A/DHCR24/ITGB3/JARID2/MEF2C/RARB/SLC16A2/SOX5/SOX9/FOXP1/ROGDI/TET1/IQGAP3/DIPK2A"
"GO:0010118","GO:0010118","stomatal movement",0,"0/85",""
"GO:0010496","GO:0010496","intercellular transport",0,"0/85",""
"GO:0016037","GO:0016037","light absorption",0,"0/85",""
"GO:0016049","GO:0016049","cell growth",5,"5/85","AVPR1A/BDNF/SOX9/SIN3A/NLGN3"
"GO:0016192","GO:0016192","vesicle-mediated transport",7,"7/85","DLG4/HFE/ITGB3/SLC1A1/IL1RAPL1/NLGN3/NLGN4X"
"GO:0019725","GO:0019725","cellular homeostasis",13,"13/85","AVPR1A/CA2/DLG4/GRIN2B/GTF2I/HFE/MTNR1B/NTSR1/OXTR/RYR2/SLC1A1/SIN3A/SHANK3"
"GO:0019835","GO:0019835","cytolysis",0,"0/85",""
"GO:0022402","GO:0022402","cell cycle process",4,"4/85","SOX9/SIN3A/NSUN2/IQGAP3"
"GO:0022406","GO:0022406","membrane docking",0,"0/85",""
"GO:0022412","GO:0022412","cellular process involved in reproduction in multicellular organism",2,"2/85","DNMT3A/NSUN2"
"GO:0030029","GO:0030029","actin filament-based process",4,"4/85","RYR2/SCN1A/SHANK3/IQGAP3"
"GO:0032196","GO:0032196","transposition",0,"0/85",""
"GO:0033059","GO:0033059","cellular pigmentation",0,"0/85",""
"GO:0034337","GO:0034337","RNA folding",0,"0/85",""
"GO:0035212","GO:0035212","cell competition in a multicellular organism",0,"0/85",""
"GO:0036166","GO:0036166","phenotypic switching",0,"0/85",""
"GO:0043335","GO:0043335","protein unfolding",0,"0/85",""
"GO:0044068","GO:0044068","modulation by symbiont of host cellular process",0,"0/85",""
"GO:0044663","GO:0044663","establishment or maintenance of cell type involved in phenotypic switching",0,"0/85",""
"GO:0044764","GO:0044764","multi-organism cellular process",0,"0/85",""
"GO:0045103","GO:0045103","intermediate filament-based process",0,"0/85",""
"GO:0048522","GO:0048522","positive regulation of cellular process",46,"46/85","AVPR1A/BDNF/CA2/CIRBP/DLG4/DLX1/DNMT3A/DNMT3B/EN2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/MTNR1B/NTSR1/OXTR/RELN/RARB/RYR2/SLC1A1/SOX5/SOX9/TBL1X/NRXN1/RAI1/IL1RAPL1/DIP2A/HEY1/SIN3A/CNTNAP2/FOXP1/NLGN3/LRRN3/TSHZ3/DPP10/CHD8/ROGDI/TET1/DDHD1/SHANK3/IQGAP3/TET3/DIPK2A/LRRTM3"
"GO:0048523","GO:0048523","negative regulation of cellular process",39,"39/85","AVPR1A/BDNF/CIRBP/DHCR24/DLG4/DLX1/DNMT3A/DNMT3B/EN2/GABRA5/GRIN2B/HFE/ITGB3/JARID2/MEF2C/MTNR1B/NTSR1/RARB/RYR2/SFSWAP/SLC1A1/SLC16A2/SOX9/TBL1X/USH2A/TRIP12/IL1RAPL1/MYT1L/CIC/HEY1/SIN3A/FOXP1/NSUN2/NLGN4X/TSHZ3/CHD8/TET1/SHANK3/DIPK2A"
"GO:0048869","GO:0048869","cellular developmental process",38,"38/85","AVPR1A/BDNF/CA2/CHD2/DIO2/DIO3/DLG4/DLX1/DNMT3A/DNMT3B/EN2/GABRA5/ITGB3/JARID2/MEF2C/RELN/RARB/SLC1A1/SOX5/SOX9/USH2A/NRXN3/NRXN1/LAMC3/IL1RAPL1/MYT1L/DIP2A/HEY1/SIN3A/CNTNAP2/FOXP1/NLGN3/FEV/NSUN2/NLGN4X/ROGDI/TET1/SHANK3"
"GO:0050794","GO:0050794","regulation of cellular process",70,"70/85","AVPR1A/BDNF/CA2/CHD2/CIRBP/DHCR24/DIO2/DLG4/DLX1/DNMT3A/DNMT3B/DPP6/EN2/GABRA5/GABRB3/GLRA2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/MTNR1A/MTNR1B/NTSR1/OXTR/RELN/RARB/RYR2/SCN1A/SFSWAP/SLC1A1/SLC16A2/SOX5/SOX9/TBL1X/USH2A/NEMF/GPR50/TRIP12/NRXN1/NRXN2/RAI1/IL1RAPL1/MYT1L/CIC/DIP2A/HEY1/SIN3A/CNTNAP2/FOXP1/NLGN3/LRRN3/FEV/NSUN2/GABRQ/NLGN4X/TSHZ3/DPP10/CHD8/ROGDI/TET1/DDHD1/CTTNBP2/SHANK3/IQGAP3/PTCHD1/TET3/DIPK2A/LRRTM3"
"GO:0051301","GO:0051301","cell division",2,"2/85","SOX5/NSUN2"
"GO:0051641","GO:0051641","cellular localization",22,"22/85","BDNF/DLG4/DPP6/GRIN2B/HFE/ITGB3/MEF2C/NTSR1/RELN/RYR2/SLC1A1/SOX9/NEMF/NRXN1/NRXN2/SIN3A/CNTNAP2/NLGN3/NSUN2/NLGN4X/DPP10/SHANK3"
"GO:0051651","GO:0051651","maintenance of location in cell",2,"2/85","NTSR1/RYR2"
"GO:0051674","GO:0051674","localization of cell",7,"7/85","ITGB3/MEF2C/RELN/SOX9/USH2A/LAMC3/FOXP1"
"GO:0051716","GO:0051716","cellular response to stimulus",46,"46/85","AVPR1A/BDNF/CA2/CHD2/DHCR24/DLG4/DLX1/DNMT3A/DNMT3B/GABRA5/GABRB3/GLRA2/GRIN2B/GTF2I/HFE/ITGB3/JARID2/MEF2C/MTNR1A/MTNR1B/NTSR1/OXTR/RELN/RARB/RYR2/SLC1A1/SOX5/SOX9/TBL1X/GPR50/TRIP12/NRXN1/NRXN2/IL1RAPL1/HEY1/SIN3A/FOXP1/NLGN3/NSUN2/GABRQ/NLGN4X/CHD8/SHANK3/IQGAP3/PTCHD1/DIPK2A"
"GO:0055085","GO:0055085","transmembrane transport",21,"21/85","CA2/DLG4/DPP6/GABRA5/GABRB3/GLRA2/GRIN2B/HFE/MEF2C/MTNR1B/NTSR1/RELN/RYR2/SCN1A/SLC1A1/SLC16A2/NLGN3/GABRQ/DPP10/SHANK3/UNC80"
"GO:0060352","GO:0060352","cell adhesion molecule production",0,"0/85",""
"GO:0061842","GO:0061842","microtubule organizing center localization",0,"0/85",""
"GO:0061919","GO:0061919","process utilizing autophagic mechanism",0,"0/85",""
"GO:0071554","GO:0071554","cell wall organization or biogenesis",0,"0/85",""
"GO:0071840","GO:0071840","cellular component organization or biogenesis",37,"37/85","AVPR1A/BDNF/CDH10/CHD2/CIRBP/DHCR24/DLG4/DNMT3A/GABRB3/GRIN2B/HFE/ITGB3/JARID2/MEF2C/OXTR/RELN/SFSWAP/SLC1A1/SOX9/NRXN3/NRXN1/NRXN2/IL1RAPL1/DIP2A/SIN3A/CNTNAP2/NLGN3/LRRN3/NLGN4X/CHD8/TET1/DDHD1/CTTNBP2/SHANK3/CEP41/IQGAP3/LRRTM3"
"GO:0090618","GO:0090618","DNA clamp unloading",0,"0/85",""
"GO:0097194","GO:0097194","execution phase of apoptosis",0,"0/85",""
"GO:0097528","GO:0097528","execution phase of necroptosis",0,"0/85",""
"GO:0098743","GO:0098743","cell aggregation",2,"2/85","SOX5/SOX9"
"GO:0120312","GO:0120312","ciliary basal body segregation",0,"0/85",""
"GO:0140029","GO:0140029","exocytic process",0,"0/85",""
"GO:0140253","GO:0140253","cell-cell fusion",0,"0/85",""
"GO:0140352","GO:0140352","export from cell",9,"9/85","AVPR1A/HFE/MEF2C/MTNR1B/NTSR1/OXTR/NRXN1/NRXN2/IL1RAPL1"
"GO:1990748","GO:1990748","cellular detoxification",0,"0/85",""
"GO:0043609","GO:0043609","regulation of carbon utilization",0,"0/85",""
"GO:0019042","GO:0019042","viral latency",0,"0/85",""
"GO:0019043","GO:0019043","establishment of viral latency",0,"0/85",""
"GO:0019044","GO:0019044","maintenance of viral latency",0,"0/85",""
"GO:0019045","GO:0019045","latent virus replication",0,"0/85",""
"GO:0019046","GO:0019046","release from viral latency",0,"0/85",""
"GO:0019048","GO:0019048","modulation by virus of host process",0,"0/85",""
"GO:0019058","GO:0019058","viral life cycle",1,"1/85","ITGB3"
"GO:0019061","GO:0019061","uncoating of virus",0,"0/85",""
"GO:0019068","GO:0019068","virion assembly",0,"0/85",""
"GO:0019069","GO:0019069","viral capsid assembly",0,"0/85",""
"GO:0019070","GO:0019070","viral genome maturation",0,"0/85",""
"GO:0019072","GO:0019072","viral genome packaging",0,"0/85",""
"GO:0019075","GO:0019075","virus maturation",0,"0/85",""
"GO:0019076","GO:0019076","viral release from host cell",0,"0/85",""
"GO:0019079","GO:0019079","viral genome replication",0,"0/85",""
"GO:0019080","GO:0019080","viral gene expression",0,"0/85",""
"GO:0019081","GO:0019081","viral translation",0,"0/85",""
"GO:0019082","GO:0019082","viral protein processing",0,"0/85",""
"GO:0019083","GO:0019083","viral transcription",0,"0/85",""
"GO:0039664","GO:0039664","lysis of host organelle involved in viral entry into host cell",0,"0/85",""
"GO:0039665","GO:0039665","permeabilization of host organelle membrane involved in viral entry into host cell",0,"0/85",""
"GO:0039707","GO:0039707","pore formation by virus in membrane of host cell",0,"0/85",""
"GO:0044793","GO:0044793","negative regulation by host of viral process",0,"0/85",""
"GO:0044794","GO:0044794","positive regulation by host of viral process",0,"0/85",""
"GO:0044826","GO:0044826","viral genome integration into host DNA",0,"0/85",""
"GO:0046745","GO:0046745","viral capsid secondary envelopment",0,"0/85",""
"GO:0046755","GO:0046755","viral budding",0,"0/85",""
"GO:0046786","GO:0046786","viral replication complex formation and maintenance",0,"0/85",""
"GO:0046787","GO:0046787","viral DNA repair",0,"0/85",""
"GO:0046794","GO:0046794","transport of virus",0,"0/85",""
"GO:0046799","GO:0046799","recruitment of helicase-primase complex to DNA lesions",0,"0/85",""
"GO:0046807","GO:0046807","viral scaffold assembly and maintenance",0,"0/85",""
"GO:0046815","GO:0046815","genome retention in viral capsid",0,"0/85",""
"GO:0048524","GO:0048524","positive regulation of viral process",0,"0/85",""
"GO:0048525","GO:0048525","negative regulation of viral process",0,"0/85",""
"GO:0050690","GO:0050690","regulation of defense response to virus by virus",0,"0/85",""
"GO:0050792","GO:0050792","regulation of viral process",0,"0/85",""
"GO:0075522","GO:0075522","IRES-dependent viral translational initiation",0,"0/85",""
"GO:0075523","GO:0075523","viral translational frameshifting",0,"0/85",""
"GO:0075524","GO:0075524","ribosomal skipping",0,"0/85",""
"GO:0075525","GO:0075525","viral translational termination-reinitiation",0,"0/85",""
"GO:0075526","GO:0075526","cap snatching",0,"0/85",""
"GO:0075527","GO:0075527","viral RNA editing",0,"0/85",""
"GO:0098003","GO:0098003","viral tail assembly",0,"0/85",""
"GO:0098004","GO:0098004","virus tail fiber assembly",0,"0/85",""
"GO:0098005","GO:0098005","viral head-tail joining",0,"0/85",""
"GO:0098045","GO:0098045","virus baseplate assembly",0,"0/85",""
"GO:0098669","GO:0098669","superinfection exclusion",0,"0/85",""
"GO:0098677","GO:0098677","virion maturation",0,"0/85",""
"GO:0098678","GO:0098678","viral tropism switching",0,"0/85",""
"GO:0098689","GO:0098689","latency-replication decision",0,"0/85",""
"GO:0099009","GO:0099009","viral genome circularization",0,"0/85",""
"GO:0006808","GO:0006808","regulation of nitrogen utilization",0,"0/85",""
"GO:0019676","GO:0019676","ammonia assimilation cycle",0,"0/85",""
"GO:0045847","GO:0045847","negative regulation of nitrogen utilization",0,"0/85",""
"GO:0045848","GO:0045848","positive regulation of nitrogen utilization",0,"0/85",""
"GO:0000742","GO:0000742","karyogamy involved in conjugation with cellular fusion",0,"0/85",""
"GO:0000743","GO:0000743","nuclear migration involved in conjugation with cellular fusion",0,"0/85",""
"GO:0000752","GO:0000752","agglutination involved in conjugation with cellular fusion",0,"0/85",""
"GO:0002077","GO:0002077","acrosome matrix dispersal",0,"0/85",""
"GO:0003006","GO:0003006","developmental process involved in reproduction",5,"5/85","DHCR24/DNMT3A/SOX9/HEY1/NSUN2"
"GO:0007117","GO:0007117","budding cell bud growth",0,"0/85",""
"GO:0007300","GO:0007300","ovarian nurse cell to oocyte transport",0,"0/85",""
"GO:0007316","GO:0007316","pole plasm RNA localization",0,"0/85",""
"GO:0007318","GO:0007318","pole plasm protein localization",0,"0/85",""
"GO:0007340","GO:0007340","acrosome reaction",0,"0/85",""
"GO:0007343","GO:0007343","egg activation",0,"0/85",""
"GO:0007344","GO:0007344","pronuclear fusion",0,"0/85",""
"GO:0007534","GO:0007534","gene conversion at mating-type locus",0,"0/85",""
"GO:0007543","GO:0007543","sex determination, somatic-gonadal interaction",0,"0/85",""
"GO:0007566","GO:0007566","embryo implantation",0,"0/85",""
"GO:0009566","GO:0009566","fertilization",0,"0/85",""
