"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050807","GO:0050807","regulation of synapse organization","12/84","211/18723",1.70103009672916e-10,3.02074594677487e-08,2.32324900053272e-08,"BDNF/GRIN2B/MEF2C/OXTR/RELN/NRXN1/IL1RAPL1/NLGN3/LRRN3/CTTNBP2/SHANK3/LRRTM3",12
"GO:0050803","GO:0050803","regulation of synapse structure or activity","12/84","218/18723",2.47997715843416e-10,4.06525486509477e-08,3.12657849043076e-08,"BDNF/GRIN2B/MEF2C/OXTR/RELN/NRXN1/IL1RAPL1/NLGN3/LRRN3/CTTNBP2/SHANK3/LRRTM3",12
"GO:0001941","GO:0001941","postsynaptic membrane organization","7/84","39/18723",3.88328097654781e-10,5.91090840073099e-08,4.5460665266804e-08,"DLG4/RELN/NRXN1/NRXN2/NLGN3/NLGN4X/SHANK3",7
"GO:0060079","GO:0060079","excitatory postsynaptic potential","9/84","100/18723",6.48057050512425e-10,9.20673049761318e-08,7.08087598349365e-08,"DLG4/GLRA2/GRIN2B/MEF2C/RELN/NRXN1/NLGN3/NLGN4X/SHANK3",9
"GO:0051968","GO:0051968","positive regulation of synaptic transmission, glutamatergic","6/84","30/18723",3.7051426885534e-09,4.93478691831706e-07,3.79533366189319e-07,"OXTR/RELN/NRXN1/NLGN3/TSHZ3/SHANK3",6
"GO:0099173","GO:0099173","postsynapse organization","10/84","168/18723",4.03081620410312e-09,5.05274666526103e-07,3.88605624135514e-07,"DLG4/GRIN2B/RELN/NRXN1/NRXN2/IL1RAPL1/DIP2A/NLGN3/NLGN4X/SHANK3",10
"GO:0034329","GO:0034329","cell junction assembly","14/84","420/18723",5.00924172827602e-09,5.93038562386455e-07,4.56104641574606e-07,"BDNF/CDH10/GABRB3/MEF2C/OXTR/NRXN1/NRXN2/IL1RAPL1/CNTNAP2/NLGN3/LRRN3/NLGN4X/SHANK3/LRRTM3",14
"GO:0030534","GO:0030534","adult behavior","9/84","130/18723",6.72928157394534e-09,7.54742054425132e-07,5.8047043826221e-07,"NTSR1/SLC1A1/NRXN3/NRXN1/NRXN2/CNTNAP2/NLGN3/NLGN4X/SHANK3",9
"GO:0051965","GO:0051965","positive regulation of synapse assembly","7/84","60/18723",9.03983384967647e-09,9.63194296683028e-07,7.4079059494454e-07,"BDNF/OXTR/NRXN1/IL1RAPL1/NLGN3/LRRN3/LRRTM3",7
"GO:0007158","GO:0007158","neuron cell-cell adhesion","5/84","17/18723",9.55641648607967e-09,9.69748739611228e-07,7.45831602447421e-07,"NRXN3/NRXN1/NRXN2/NLGN3/NLGN4X",5
"GO:0031644","GO:0031644","regulation of nervous system process","9/84","144/18723",1.6517444211802e-08,1.55936471909518e-06,1.19930394311106e-06,"AVPR1A/DLG4/MTNR1B/NTSR1/RELN/NRXN1/NLGN3/NLGN4X/SHANK3",9
"GO:0051963","GO:0051963","regulation of synapse assembly","8/84","101/18723",1.68303090282445e-08,1.55936471909518e-06,1.19930394311106e-06,"BDNF/MEF2C/OXTR/NRXN1/IL1RAPL1/NLGN3/LRRN3/LRRTM3",8
"GO:1901890","GO:1901890","positive regulation of cell junction assembly","8/84","104/18723",2.12191546328805e-08,1.88408410511118e-06,1.44904490190329e-06,"BDNF/OXTR/NRXN1/IL1RAPL1/CNTNAP2/NLGN3/LRRN3/LRRTM3",8
"GO:0051966","GO:0051966","regulation of synaptic transmission, glutamatergic","7/84","69/18723",2.44474460147452e-08,2.08390029829688e-06,1.60272309241929e-06,"MEF2C/OXTR/RELN/NRXN1/NLGN3/TSHZ3/SHANK3",7
"GO:0098815","GO:0098815","modulation of excitatory postsynaptic potential","6/84","43/18723",3.63140656470771e-08,2.97635668822774e-06,2.28910932034409e-06,"DLG4/RELN/NRXN1/NLGN3/NLGN4X/SHANK3",6
"GO:0050806","GO:0050806","positive regulation of synaptic transmission","9/84","164/18723",5.11203930180527e-08,4.03472435264705e-06,3.10309754109583e-06,"DLG4/GRIN2B/OXTR/RELN/SLC1A1/NRXN1/NLGN3/TSHZ3/SHANK3",9
"GO:2000463","GO:2000463","positive regulation of excitatory postsynaptic potential","5/84","27/18723",1.20362798751424e-07,8.9245109534527e-06,6.86382155870773e-06,"DLG4/RELN/NRXN1/NLGN3/SHANK3",5
"GO:0097104","GO:0097104","postsynaptic membrane assembly","4/84","11/18723",1.21450407156325e-07,8.9245109534527e-06,6.86382155870773e-06,"NRXN1/NRXN2/NLGN3/NLGN4X",4
"GO:0031223","GO:0031223","auditory behavior","4/84","12/18723",1.81553185915159e-07,1.2560708951718e-05,9.66041336551896e-06,"NRXN1/NRXN2/CNTNAP2/SHANK3",4
"GO:0035249","GO:0035249","synaptic transmission, glutamatergic","7/84","92/18723",1.82722654858403e-07,1.2560708951718e-05,9.66041336551896e-06,"MEF2C/OXTR/RELN/NRXN1/NLGN3/TSHZ3/SHANK3",7
"GO:0099068","GO:0099068","postsynapse assembly","5/84","30/18723",2.10235446362731e-07,1.40003667562181e-05,1.0767650986407e-05,"NRXN1/NRXN2/NLGN3/NLGN4X/SHANK3",5
"GO:1901888","GO:1901888","regulation of cell junction assembly","9/84","204/18723",3.29677188142354e-07,2.12891541797381e-05,1.63734412101322e-05,"BDNF/MEF2C/OXTR/NRXN1/IL1RAPL1/CNTNAP2/NLGN3/LRRN3/LRRTM3",9
"GO:0007638","GO:0007638","mechanosensory behavior","4/84","14/18723",3.64636784295997e-07,2.28541466863167e-05,1.75770734721011e-05,"NRXN1/NRXN2/CNTNAP2/SHANK3",4
"GO:0050804","GO:0050804","modulation of chemical synaptic transmission","12/84","439/18723",5.83635014201798e-07,3.53890361527718e-05,2.72176291288329e-05,"BDNF/DLG4/GRIN2B/MEF2C/OXTR/RELN/SLC1A1/NRXN1/NLGN3/NLGN4X/TSHZ3/SHANK3",12
"GO:0099177","GO:0099177","regulation of trans-synaptic signaling","12/84","440/18723",5.97843876818294e-07,3.53890361527718e-05,2.72176291288329e-05,"BDNF/DLG4/GRIN2B/MEF2C/OXTR/RELN/SLC1A1/NRXN1/NLGN3/NLGN4X/TSHZ3/SHANK3",12
"GO:0051960","GO:0051960","regulation of nervous system development","12/84","443/18723",6.4233525254075e-07,3.6995038463901e-05,2.84528019404253e-05,"BDNF/DLX1/OXTR/RELN/RARB/NRXN1/IL1RAPL1/HEY1/NLGN3/LRRN3/SHANK3/LRRTM3",12
"GO:0007613","GO:0007613","memory","7/84","118/18723",1.00134085421046e-06,5.61541410611183e-05,4.31880252079138e-05,"BDNF/OXTR/RELN/SLC1A1/CIC/SHANK3/PTCHD1",7
"GO:0071709","GO:0071709","membrane assembly","5/84","50/18723",2.91347557287361e-06,0.000159195293481889,0.000122436746746672,"NRXN1/NRXN2/IL1RAPL1/NLGN3/NLGN4X",5
"GO:0021544","GO:0021544","subpallium development","4/84","23/18723",3.12785853037552e-06,0.000166636663205756,0.000128159887678807,"DLX1/RARB/CNTNAP2/SHANK3",4
"GO:0051962","GO:0051962","positive regulation of nervous system development","9/84","272/18723",3.59124778363359e-06,0.00018665729333959,0.00014355770986181,"BDNF/OXTR/RELN/NRXN1/IL1RAPL1/NLGN3/LRRN3/SHANK3/LRRTM3",9
"GO:0043113","GO:0043113","receptor clustering","5/84","53/18723",3.90468017906571e-06,0.000197136961341812,0.000151617599253724,"DLG4/RELN/NRXN1/NRXN2/SHANK3",5
"GO:0043524","GO:0043524","negative regulation of neuron apoptotic process","7/84","145/18723",3.97789269718344e-06,0.000197136961341812,0.000151617599253724,"BDNF/DLX1/EN2/GABRA5/MEF2C/MTNR1B/SLC1A1",7
"GO:1904062","GO:1904062","regulation of cation transmembrane transport","10/84","357/18723",4.42085389784832e-06,0.000205591754160916,0.000158120161638246,"DLG4/DPP6/MEF2C/MTNR1B/NTSR1/RELN/RYR2/NLGN3/DPP10/SHANK3",10
"GO:0010996","GO:0010996","response to auditory stimulus","4/84","25/18723",4.43792618085507e-06,0.000205591754160916,0.000158120161638246,"NRXN1/NRXN2/CNTNAP2/SHANK3",4
"GO:2000311","GO:2000311","regulation of AMPA receptor activity","4/84","25/18723",4.43792618085507e-06,0.000205591754160916,0.000158120161638246,"MEF2C/RELN/NLGN3/SHANK3",4
"GO:0044091","GO:0044091","membrane biogenesis","5/84","55/18723",4.70028333043274e-06,0.000213112846322387,0.000163904616920129,"NRXN1/NRXN2/IL1RAPL1/NLGN3/NLGN4X",5
"GO:0070997","GO:0070997","neuron death","10/84","361/18723",4.87779651928588e-06,0.000216553841304129,0.000166551078520353,"BDNF/DHCR24/DIO3/DLX1/EN2/GABRA5/GRIN2B/MEF2C/MTNR1B/SLC1A1",10
"GO:0030900","GO:0030900","forebrain development","10/84","379/18723",7.47914749634032e-06,0.000325266598259209,0.000250161818513467,"AVPR1A/DLX1/OXTR/PCDH9/RELN/RARB/SIN3A/CNTNAP2/SHANK3/PTCHD1",10
"GO:0099601","GO:0099601","regulation of neurotransmitter receptor activity","5/84","63/18723",9.23379063152747e-06,0.000393544156715701,0.000302673937121859,"DLG4/MEF2C/RELN/NLGN3/SHANK3",5
"GO:0097105","GO:0097105","presynaptic membrane assembly","3/84","10/18723",1.02192568819963e-05,0.000427004635598708,0.000328408317136599,"IL1RAPL1/NLGN3/NLGN4X",3
"GO:0097106","GO:0097106","postsynaptic density organization","4/84","31/18723",1.08146867337707e-05,0.00044319418133972,0.000340859660819454,"RELN/NRXN1/NRXN2/SHANK3",4
"GO:1902476","GO:1902476","chloride transmembrane transport","5/84","66/18723",1.16174121963737e-05,0.000467107648876836,0.000359251455605836,"GABRA5/GABRB3/GLRA2/SLC1A1/GABRQ",5
"GO:0034765","GO:0034765","regulation of ion transmembrane transport","11/84","491/18723",1.19188482297386e-05,0.000470353066251352,0.000361747498902594,"DLG4/DPP6/MEF2C/MTNR1B/NTSR1/RELN/RYR2/SCN1A/NLGN3/DPP10/SHANK3",11
"GO:1901214","GO:1901214","regulation of neuron death","9/84","319/18723",1.29702503392544e-05,0.000502538244962747,0.000386501048386968,"BDNF/DHCR24/DLX1/EN2/GABRA5/GRIN2B/MEF2C/MTNR1B/SLC1A1",9
"GO:0099084","GO:0099084","postsynaptic specialization organization","4/84","33/18723",1.39686766988118e-05,0.00052362536867966,0.000402719108416721,"RELN/NRXN1/NRXN2/SHANK3",4
"GO:0097090","GO:0097090","presynaptic membrane organization","3/84","11/18723",1.40059343100613e-05,0.00052362536867966,0.000402719108416721,"IL1RAPL1/NLGN3/NLGN4X",3
"GO:0051402","GO:0051402","neuron apoptotic process","8/84","246/18723",1.46164285918844e-05,0.000537027747056994,0.000413026847868675,"BDNF/DIO3/DLX1/EN2/GABRA5/MEF2C/MTNR1B/SLC1A1",8
"GO:2001257","GO:2001257","regulation of cation channel activity","7/84","184/18723",1.89037979247374e-05,0.000682779548773141,0.000525124234947655,"DLG4/MEF2C/MTNR1B/NTSR1/RELN/NLGN3/SHANK3",7
"GO:0072529","GO:0072529","pyrimidine-containing compound catabolic process","4/84","37/18723",2.22396670428072e-05,0.000789878841137035,0.000607494062906154,"DPYD/TET1/UPP2/TET3",4
"GO:0072578","GO:0072578","neurotransmitter-gated ion channel clustering","3/84","13/18723",2.41198754788089e-05,0.000842614010579372,0.000648052564633398,"DLG4/RELN/SHANK3",3
"GO:0032412","GO:0032412","regulation of ion transmembrane transporter activity","8/84","267/18723",2.63298882669848e-05,0.000904983740273299,0.000696020985257984,"DLG4/MEF2C/MTNR1B/NTSR1/RELN/RYR2/NLGN3/SHANK3",8
"GO:0045664","GO:0045664","regulation of neuron differentiation","7/84","196/18723",2.83776833564234e-05,0.00095988640051648,0.000738246499347556,"BDNF/DLX1/DNMT3B/MEF2C/SOX9/HEY1/SIN3A",7
"GO:0048167","GO:0048167","regulation of synaptic plasticity","7/84","198/18723",3.02829049585566e-05,0.00100832610104194,0.0007755013654683,"DLG4/GRIN2B/MEF2C/RELN/SLC1A1/TSHZ3/SHANK3",7
"GO:0022898","GO:0022898","regulation of transmembrane transporter activity","8/84","278/18723",3.50983435288801e-05,0.00115068569323144,0.000884989811732247,"DLG4/MEF2C/MTNR1B/NTSR1/RELN/RYR2/NLGN3/SHANK3",8
"GO:0097061","GO:0097061","dendritic spine organization","5/84","84/18723",3.76751587223469e-05,0.00121645095814123,0.00093556973095206,"DLG4/GRIN2B/RELN/DIP2A/SHANK3",5
"GO:1901215","GO:1901215","negative regulation of neuron death","7/84","208/18723",4.1460074096093e-05,0.00131867787908618,0.00101419222887065,"BDNF/DLX1/EN2/GABRA5/MEF2C/MTNR1B/SLC1A1",7
"GO:0019439","GO:0019439","aromatic compound catabolic process","10/84","467/18723",4.48774133979851e-05,0.00140637894045744,0.0010816429204437,"CIRBP/DIO2/DIO3/DPYD/EPHX2/PAH/NSUN2/TET1/UPP2/TET3",10
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","7/84","212/18723",4.67882102773001e-05,0.00144500979856415,0.0011113538276393,"BDNF/DLX1/EN2/GABRA5/MEF2C/MTNR1B/SLC1A1",7
"GO:2000273","GO:2000273","positive regulation of signaling receptor activity","4/84","45/18723",4.88207881747549e-05,0.00148624428000575,0.0011430671757608,"HFE/RELN/NLGN3/SHANK3",4
"GO:0009612","GO:0009612","response to mechanical stimulus","7/84","216/18723",5.26658668932438e-05,0.00157718656830009,0.00121301068776371,"RYR2/SCN1A/SOX9/NRXN1/NRXN2/CNTNAP2/SHANK3",7
"GO:0031057","GO:0031057","negative regulation of histone modification","4/84","46/18723",5.32883307919318e-05,0.00157718656830009,0.00121301068776371,"DNMT3B/JARID2/TRIP12/SIN3A",4
"GO:0098661","GO:0098661","inorganic anion transmembrane transport","5/84","91/18723",5.5376484977506e-05,0.00160844010458181,0.001237047713124,"GABRA5/GABRB3/GLRA2/SLC1A1/GABRQ",5
"GO:0007625","GO:0007625","grooming behavior","3/84","17/18723",5.66086381246531e-05,0.00160844010458181,0.001237047713124,"AVPR1A/DLG4/SLC1A1",3
"GO:0021756","GO:0021756","striatum development","3/84","17/18723",5.66086381246531e-05,0.00160844010458181,0.001237047713124,"RARB/CNTNAP2/SHANK3",3
"GO:0106027","GO:0106027","neuron projection organization","5/84","93/18723",6.14539199178489e-05,0.0017231355703281,0.00132525974116469,"DLG4/GRIN2B/RELN/DIP2A/SHANK3",5
"GO:0097107","GO:0097107","postsynaptic density assembly","3/84","18/18723",6.77104607739126e-05,0.00187390898583387,0.00144121924025949,"NRXN1/NRXN2/SHANK3",3
"GO:1901361","GO:1901361","organic cyclic compound catabolic process","10/84","495/18723",7.29842714963299e-05,0.00199396772511127,0.00153355615006458,"CIRBP/DIO2/DIO3/DPYD/EPHX2/PAH/NSUN2/TET1/UPP2/TET3",10
"GO:0099054","GO:0099054","presynapse assembly","4/84","50/18723",7.41860974756566e-05,0.00200114650279271,0.00153907733203994,"IL1RAPL1/NLGN3/NLGN4X/LRRTM3",4
"GO:0032409","GO:0032409","regulation of transporter activity","8/84","310/18723",7.5542962135088e-05,0.00201227565387341,0.00154763673742542,"DLG4/MEF2C/MTNR1B/NTSR1/RELN/RYR2/NLGN3/SHANK3",8
"GO:0060291","GO:0060291","long-term synaptic potentiation","5/84","99/18723",8.28135005878724e-05,0.00215214109454581,0.00165520693729547,"GRIN2B/RELN/SLC1A1/TSHZ3/SHANK3",5
"GO:0060996","GO:0060996","dendritic spine development","5/84","99/18723",8.28135005878724e-05,0.00215214109454581,0.00165520693729547,"DLG4/MEF2C/RELN/DIP2A/SHANK3",5
"GO:0099172","GO:0099172","presynapse organization","4/84","53/18723",9.33675376327329e-05,0.00239718340596812,0.00184366843492917,"IL1RAPL1/NLGN3/NLGN4X/LRRTM3",4
"GO:0042220","GO:0042220","response to cocaine","4/84","55/18723",0.000108007123462549,0.00270819045348187,0.00208286326462558,"DNMT3A/DNMT3B/OXTR/SLC1A1",4
"GO:0043576","GO:0043576","regulation of respiratory gaseous exchange","3/84","21/18723",0.000109293467385941,0.00270819045348187,0.00208286326462558,"NTSR1/NLGN3/TSHZ3",3
"GO:0098698","GO:0098698","postsynaptic specialization assembly","3/84","21/18723",0.000109293467385941,0.00270819045348187,0.00208286326462558,"NRXN1/NRXN2/SHANK3",3
"GO:0021537","GO:0021537","telencephalon development","7/84","248/18723",0.000125060860479799,0.00306327234117761,0.00235595595604413,"AVPR1A/DLX1/OXTR/RELN/RARB/CNTNAP2/SHANK3",7
"GO:0010469","GO:0010469","regulation of signaling receptor activity","6/84","173/18723",0.000127791721443763,0.0030926583367686,0.00237855666000578,"DLG4/HFE/MEF2C/RELN/NLGN3/SHANK3",6
"GO:0006821","GO:0006821","chloride transport","5/84","109/18723",0.000130614383063901,0.0030926583367686,0.00237855666000578,"GABRA5/GABRB3/GLRA2/SLC1A1/GABRQ",5
"GO:0032414","GO:0032414","positive regulation of ion transmembrane transporter activity","5/84","109/18723",0.000130614383063901,0.0030926583367686,0.00237855666000578,"NTSR1/RELN/RYR2/NLGN3/SHANK3",5
"GO:0018958","GO:0018958","phenol-containing compound metabolic process","5/84","110/18723",0.000136355853077658,0.00319312442756582,0.00245582490736742,"DIO2/DIO3/PAH/SLC1A1/SLC16A2",5
"GO:0035265","GO:0035265","organ growth","6/84","178/18723",0.000149313919710792,0.00345856481417063,0.00265997451933299,"JARID2/MEF2C/RARB/SOX9/NLGN4X/DIPK2A",6
"GO:0060997","GO:0060997","dendritic spine morphogenesis","4/84","61/18723",0.000161920663509121,0.00371024660148319,0.00285354242313188,"DLG4/RELN/DIP2A/SHANK3",4
"GO:2000310","GO:2000310","regulation of NMDA receptor activity","3/84","24/18723",0.000164714672310858,0.00373411666696212,0.00287190083749167,"DLG4/MEF2C/RELN",3
"GO:0043279","GO:0043279","response to alkaloid","5/84","115/18723",0.000168020322179053,0.00376896112172171,0.00289869963028018,"DNMT3A/DNMT3B/OXTR/RYR2/SLC1A1",5
"GO:0051480","GO:0051480","regulation of cytosolic calcium ion concentration","8/84","353/18723",0.000184878966963693,0.00410392790207947,0.00315632183730778,"AVPR1A/DLG4/GRIN2B/GTF2I/MTNR1B/NTSR1/OXTR/RYR2",8
"GO:0032411","GO:0032411","positive regulation of transporter activity","5/84","120/18723",0.000205019289685039,0.0045040835702971,0.00346408067324586,"NTSR1/RELN/RYR2/NLGN3/SHANK3",5
"GO:0035418","GO:0035418","protein localization to synapse","4/84","65/18723",0.000207230119355201,0.00450619779944829,0.0034657067221917,"DLG4/RELN/NRXN1/NRXN2",4
"GO:1904861","GO:1904861","excitatory synapse assembly","3/84","26/18723",0.000210224113730186,0.00452512713493967,0.00348026523208825,"NRXN1/NRXN2/SHANK3",3
"GO:0042403","GO:0042403","thyroid hormone metabolic process","3/84","27/18723",0.000235737749738455,0.00502357144692648,0.00386361764571342,"DIO2/DIO3/SLC16A2",3
"GO:0019226","GO:0019226","transmission of nerve impulse","4/84","69/18723",0.000261031377375655,0.00544487250885113,0.00418763935700126,"AVPR1A/MTNR1B/SCN1A/CNTNAP2",4
"GO:0010460","GO:0010460","positive regulation of heart rate","3/84","28/18723",0.000263173096392147,0.00544487250885113,0.00418763935700126,"AVPR1A/RYR2/SLC1A1",3
"GO:0019098","GO:0019098","reproductive behavior","3/84","28/18723",0.000263173096392147,0.00544487250885113,0.00418763935700126,"AVPR1A/MTNR1A/OXTR",3
"GO:0010038","GO:0010038","response to metal ion","8/84","373/18723",0.000268451505425602,0.0055006745967496,0.00423055661890347,"CA2/DLG4/DNMT3A/GLRA2/HFE/MEF2C/RYR2/SLC1A1",8
"GO:0003407","GO:0003407","neural retina development","4/84","70/18723",0.000275911234737987,0.00559968420215857,0.00430670468658692,"DIO3/DLX1/SLC1A1/SOX9",4
"GO:0033555","GO:0033555","multicellular organismal response to stress","4/84","71/18723",0.000291390679327623,0.00580330409016042,0.00446330829034047,"GABRA5/MEF2C/RELN/SLC1A1",4
"GO:0050795","GO:0050795","regulation of behavior","4/84","71/18723",0.000291390679327623,0.00580330409016042,0.00446330829034047,"DLG4/MEF2C/MTNR1B/RELN",4
"GO:0072503","GO:0072503","cellular divalent inorganic cation homeostasis","9/84","486/18723",0.000325775643979623,0.00642354749128408,0.00494033611298344,"AVPR1A/DLG4/GRIN2B/GTF2I/MTNR1B/NTSR1/OXTR/RYR2/SLC1A1",9
"GO:0048863","GO:0048863","stem cell differentiation","6/84","206/18723",0.000328562494861551,0.00642354749128408,0.00494033611298344,"CHD2/JARID2/MEF2C/SOX5/SOX9/NSUN2",6
"GO:0006836","GO:0006836","neurotransmitter transport","6/84","208/18723",0.000345953523646057,0.00670206326263406,0.0051545419743245,"ITGB3/MEF2C/SLC1A1/NRXN1/NRXN2/GABRQ",6
"GO:2001259","GO:2001259","positive regulation of cation channel activity","4/84","75/18723",0.000359585447769268,0.00690339269546226,0.00530938399408963,"NTSR1/RELN/NLGN3/SHANK3",4
"GO:0034764","GO:0034764","positive regulation of transmembrane transport","6/84","219/18723",0.000454916995466255,0.00865560819052312,0.00665700904079849,"CA2/NTSR1/RELN/RYR2/NLGN3/SHANK3",6
"GO:0001662","GO:0001662","behavioral fear response","3/84","34/18723",0.000471477004514422,0.00889130527982508,0.00683828314884914,"GABRA5/MEF2C/SLC1A1",3
"GO:0072527","GO:0072527","pyrimidine-containing compound metabolic process","4/84","82/18723",0.000505286628991611,0.00938988550304912,0.00722174009150509,"DPYD/TET1/UPP2/TET3",4
"GO:0048813","GO:0048813","dendrite morphogenesis","5/84","146/18723",0.000506727748874072,0.00938988550304912,0.00722174009150509,"DLG4/RELN/IL1RAPL1/DIP2A/SHANK3",5
"GO:0002209","GO:0002209","behavioral defense response","3/84","35/18723",0.00051401370057311,0.00944278617173533,0.00726242587833333,"GABRA5/MEF2C/SLC1A1",3
"GO:0060041","GO:0060041","retina development in camera-type eye","5/84","147/18723",0.000522741356312229,0.00952104128462701,0.0073226117119041,"DIO3/DLX1/SLC1A1/SOX9/LAMC3",5
