"","ID","Description","Count","GeneRatio","geneID"
"GO:0005515","GO:0005515","protein binding",160,"160/195","ABLIM1/ADRA1D/ADRB1/ANKRD26/APBA1/AVPR1A/BDNF/C11orf52/CA2/CASK/CAV1/CDC42BPA/CDH10/CEP41/CHD2/CHD8/CIC/CIRBP/CNTNAP2/CRHR1/CTNNA1/CTNNAL1/CTTNBP2/CXADR/DDHD1/DHCR24/DIO2/DIP2A/DIRAS3/DLG1/DLG2/DLG3/DLG4/DLG5/DLGAP1/DLGAP2/DLGAP3/DLGAP4/DLX1/DMD/DNAJC5/DNMT3A/DNMT3B/DPP10/DPYD/DTNA/DTNB/DUSP10/EFR3B/EPB41/EPB41L4A/EPHX2/ERBB4/F8A1/FAM171A1/FLOT1/FOXP1/FRS2/GAB1/GABRA5/GABRB3/GABRQ/GJA1/GPR50/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/GTF2I/GUCY1A2/HEY1/HFE/IL1RAPL1/IQGAP3/ITGB3/KCNA4/KCNJ12/KCNJ4/KHDRBS1/KIF26B/KRAS/LAMTOR1/LCK/LIN7A/LIN7B/LIN7C/LLGL1/LYN/MAGI2/MARCKS/MARK2/MARK3/MEF2C/MPDZ/MPP2/MPP3/MPP7/MTMR2/MTNR1A/MTNR1B/NETO1/NLGN1/NLGN2/NLGN3/NLGN4X/NOS1/NRAS/NRXN1/NRXN2/NRXN3/NTSR1/OCLN/PALM/PARD3/PHACTR4/PKP4/PLEKHA1/PLEKHA2/PTPN13/RAB35/RAI1/RARB/RELN/RHOB/RHPN1/ROGDI/RPS6KA1/RYR2/SCRIB/SFSWAP/SHANK2/SHANK3/SIN3A/SLC1A1/SNTA1/SNTB1/SNTB2/SNTG1/SNTG2/SOX5/SOX9/SPZ1/STX7/TAGAP/TBL1X/TET3/TNS1/TNS3/TRIP12/TSHZ3/UPP2/USH2A/USP6NL/UTRN/WWC1/ZBTB7A/ZDHHC5/ZFPL1/ZGPAT"
"GO:0005549","GO:0005549","odorant binding",0,"0/195",""
"GO:0008289","GO:0008289","lipid binding",9,"9/195","CAV1/EPB41/LYN/MARK2/PARD3/PLEKHA1/PLEKHA2/PXDC1/RAB35"
"GO:0008430","GO:0008430","selenium binding",1,"1/195","DIO2"
"GO:0015643","GO:0015643","toxic substance binding",1,"1/195","EPHX2"
"GO:0019808","GO:0019808","polyamine binding",0,"0/195",""
"GO:0030246","GO:0030246","carbohydrate binding",0,"0/195",""
"GO:0031409","GO:0031409","pigment binding",0,"0/195",""
"GO:0033218","GO:0033218","amide binding",12,"12/195","APBA1/AVPR1A/CRHR1/DHCR24/DLGAP3/GRIN1/GRIN2A/GRIN2B/NLGN1/OXTR/RYR2/SLC19A1"
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/195",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/195",""
"GO:0036094","GO:0036094","small molecule binding",30,"30/195","CASK/CAV1/CDC42BPA/CHD2/CHD8/DHCR24/DIRAS3/DPYD/ERBB4/GLRA2/GRIN1/GRIN2B/GRIN3A/GUCY1A2/KIF26B/KRAS/LCK/LYN/MARK2/MARK3/NOS1/NRAS/RAB35/RHOB/RPS6KA1/RYR2/SLC19A1/SLC1A1/TET1/TET3"
"GO:0042165","GO:0042165","neurotransmitter binding",1,"1/195","GRIN1"
"GO:0042562","GO:0042562","hormone binding",4,"4/195","AVPR1A/CRHR1/MTNR1A/OXTR"
"GO:0043167","GO:0043167","ion binding",62,"62/195","ABLIM1/CA2/CASK/CDC42BPA/CDH10/CHD2/CHD8/DDHD1/DHCR24/DIRAS3/DMD/DNMT3A/DNMT3B/DPYD/DTNA/DTNB/EPHX2/ERBB4/FOXP1/GLRA2/GRIN1/GRIN2A/GRIN2B/GRIN3A/GUCY1A2/KCNA4/KIF26B/KRAS/LCK/LYN/MARK2/MARK3/MYT1L/NLGN4X/NOS1/NRAS/NRXN1/NRXN2/NRXN3/PAH/PARD3/PCDH9/PLCH1/PLEKHA1/PLEKHA2/RAB35/RAI1/RARB/RELN/RHOB/RPS6KA1/RYR2/SHANK3/SLC19A1/SLC1A1/TET1/TET3/TSHZ3/UTRN/ZBTB7A/ZFPL1/ZGPAT"
"GO:0043176","GO:0043176","amine binding",0,"0/195",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/195",""
"GO:0043515","GO:0043515","kinetochore binding",0,"0/195",""
"GO:0044590","GO:0044590","iron-sulfur-molybdenum cofactor binding",0,"0/195",""
"GO:0044877","GO:0044877","protein-containing complex binding",26,"26/195","ABLIM1/CAV1/CTNNA1/CTNNAL1/CXADR/DLG4/DLGAP1/DMD/EPB41/GRIN1/GUCY1A2/IQGAP3/ITGB3/KHDRBS1/KRAS/LCK/LYN/MARCKS/NEMF/NLGN1/NRAS/NTSR1/RARB/SIN3A/USH2A/UTRN"
"GO:0046790","GO:0046790","virion binding",0,"0/195",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/195",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/195",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/195",""
"GO:0048038","GO:0048038","quinone binding",0,"0/195",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/195",""
"GO:0050825","GO:0050825","ice binding",0,"0/195",""
"GO:0050840","GO:0050840","extracellular matrix binding",2,"2/195","ITGB3/PLEKHA2"
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/195",""
"GO:0051192","GO:0051192","prosthetic group binding",0,"0/195",""
"GO:0051540","GO:0051540","metal cluster binding",1,"1/195","DPYD"
"GO:0070025","GO:0070025","carbon monoxide binding",0,"0/195",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/195",""
"GO:0072328","GO:0072328","alkene binding",0,"0/195",""
"GO:0072341","GO:0072341","modified amino acid binding",1,"1/195","SLC19A1"
"GO:0097159","GO:0097159","organic cyclic compound binding",56,"56/195","CASK/CAV1/CDC42BPA/CHD2/CHD8/CIC/CIRBP/CTNNA1/DHCR24/DIRAS3/DLX1/DNMT3A/DNMT3B/DPYD/EN2/ERBB4/FEV/FOXP1/GTF2I/GUCY1A2/HEY1/JARID2/KHDRBS1/KIF26B/KRAS/LCK/LYN/MARK2/MARK3/MEF2C/MTNR1A/MYT1L/NEMF/NOS1/NRAS/NSUN2/RAB35/RARB/RHOB/RPS6KA1/RYR2/SFSWAP/SIN3A/SLC19A1/SNTB2/SOX5/SOX9/SPZ1/TBL1X/TET1/TET3/TNS1/TSHZ3/ZBTB7A/ZFPL1/ZGPAT"
"GO:0097243","GO:0097243","flavonoid binding",0,"0/195",""
"GO:0097367","GO:0097367","carbohydrate derivative binding",19,"19/195","CASK/CDC42BPA/CHD2/CHD8/DIRAS3/ERBB4/GUCY1A2/KIF26B/KRAS/LCK/LYN/MARK2/MARK3/NOS1/NRAS/RAB35/RHOB/RPS6KA1/SLC19A1"
"GO:0140272","GO:0140272","exogenous protein binding",2,"2/195","CXADR/ITGB3"
"GO:0140355","GO:0140355","cargo receptor ligand activity",0,"0/195",""
"GO:1901363","GO:1901363","heterocyclic compound binding",53,"53/195","CASK/CDC42BPA/CHD2/CHD8/CIC/CIRBP/CTNNA1/DHCR24/DIRAS3/DLX1/DNMT3A/DNMT3B/DPYD/EN2/ERBB4/FEV/FOXP1/GTF2I/GUCY1A2/HEY1/JARID2/KHDRBS1/KIF26B/KRAS/LCK/LYN/MARK2/MARK3/MEF2C/MYT1L/NEMF/NOS1/NRAS/NSUN2/RAB35/RARB/RHOB/RPS6KA1/SFSWAP/SIN3A/SLC19A1/SNTB2/SOX5/SOX9/SPZ1/TBL1X/TET1/TET3/TNS1/TSHZ3/ZBTB7A/ZFPL1/ZGPAT"
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/195",""
"GO:1901681","GO:1901681","sulfur compound binding",1,"1/195","RYR2"
"GO:1902670","GO:1902670","carbon dioxide binding",0,"0/195",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/195",""
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",0,"0/195",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/195",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/195",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase (NADPH) activity",0,"0/195",""
"GO:0004601","GO:0004601","peroxidase activity",0,"0/195",""
"GO:0004784","GO:0004784","superoxide dismutase activity",0,"0/195",""
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",0,"0/195",""
"GO:0032542","GO:0032542","sulfiredoxin activity",0,"0/195",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/195",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/195",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/195",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/195",""
"GO:0004998","GO:0004998","transferrin receptor activity",0,"0/195",""
"GO:0005044","GO:0005044","scavenger receptor activity",0,"0/195",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/195",""
"GO:0016964","GO:0016964","alpha-2 macroglobulin receptor activity",0,"0/195",""
"GO:0030226","GO:0030226","apolipoprotein receptor activity",0,"0/195",""
"GO:0030228","GO:0030228","lipoprotein particle receptor activity",0,"0/195",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/195",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/195",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/195",""
"GO:0097020","GO:0097020","COPII receptor activity",0,"0/195",""
"GO:0140488","GO:0140488","heme receptor activity",0,"0/195",""
"GO:0140662","GO:0140662","ATP-dependent protein folding chaperone",0,"0/195",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/195",""
"GO:0030371","GO:0030371","translation repressor activity",1,"1/195","CIRBP"
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/195",""
"GO:0090079","GO:0090079","translation regulator activity, nucleic acid binding",0,"0/195",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/195",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/195",""
"GO:0031992","GO:0031992","energy transducer activity",0,"0/195",""
"GO:0038023","GO:0038023","signaling receptor activity",30,"30/195","ADRA1D/ADRB1/AVPR1A/CRHR1/ERBB4/GABRA5/GABRB3/GABRQ/GLRA2/GPR50/GRIN1/GRIN2A/GRIN2B/GRIN2C/GRIN3A/ITGB3/LCK/LYN/MTNR1A/MTNR1B/NLGN1/NLGN2/NLGN3/NLGN4X/NRXN1/NRXN2/NRXN3/NTSR1/OXTR/RARB"
"GO:0030533","GO:0030533","triplet codon-amino acid adaptor activity",0,"0/195",""
"GO:0030674","GO:0030674","protein-macromolecule adaptor activity",9,"9/195","CAV1/DLG5/FRS2/KHDRBS1/MAGI2/MPP7/SHANK2/SHANK3/STX7"
"GO:0106260","GO:0106260","DNA-DNA tethering activity",0,"0/195",""
"GO:0003925","GO:0003925","G protein activity",2,"2/195","KRAS/NRAS"
"GO:0016247","GO:0016247","channel regulator activity",9,"9/195","CAV1/DLG1/DPP10/DPP6/NOS1/NRXN1/NRXN2/SNTA1/STX7"
"GO:0030234","GO:0030234","enzyme regulator activity",14,"14/195","ADRB1/ARHGEF26/CAV1/FRS2/IQGAP3/LAMTOR1/LCK/LLGL1/MARK2/PHACTR4/PSD3/RPS6KA1/TAGAP/USP6NL"
"GO:0030545","GO:0030545","signaling receptor regulator activity",1,"1/195","BDNF"
"GO:0060590","GO:0060590","ATPase regulator activity",0,"0/195",""
"GO:0140659","GO:0140659","cytoskeletal motor regulator activity",0,"0/195",""
"GO:0140677","GO:0140677","molecular function activator activity",1,"1/195","LCK"
"GO:0140678","GO:0140678","molecular function inhibitor activity",2,"2/195","CAV1/SIN3A"
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/195",""
"GO:0016530","GO:0016530","metallochaperone activity",0,"0/195",""
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/195",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/195",""
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",0,"0/195",""
"GO:0140414","GO:0140414","phosphopantetheine-dependent carrier activity",0,"0/195",""
"GO:0140597","GO:0140597","protein carrier activity",0,"0/195",""
"GO:0001070","GO:0001070","RNA-binding transcription regulator activity",0,"0/195",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/195",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/195",""
"GO:0003700","GO:0003700","DNA-binding transcription factor activity",16,"16/195","CIC/DLX1/EN2/FEV/FOXP1/GTF2I/HEY1/MEF2C/MYT1L/RARB/SOX5/SOX9/SPZ1/TSHZ3/ZBTB7A/ZGPAT"
"GO:0003711","GO:0003711","transcription elongation regulator activity",0,"0/195",""
"GO:0003712","GO:0003712","transcription coregulator activity",5,"5/195","DNMT3A/DNMT3B/SIN3A/TBL1X/WWC1"
"GO:0043856","GO:0043856","anti-sigma factor antagonist activity",0,"0/195",""
"GO:0140566","GO:0140566","epigenetic reader",0,"0/195",""
"GO:0000995","GO:0000995","RNA polymerase III general transcription initiation factor activity",0,"0/195",""
"GO:0001181","GO:0001181","RNA polymerase I general transcription initiation factor activity",0,"0/195",""
"GO:0016251","GO:0016251","RNA polymerase II general transcription initiation factor activity",0,"0/195",""
"GO:0000155","GO:0000155","phosphorelay sensor kinase activity",0,"0/195",""
"GO:0005034","GO:0005034","osmosensor activity",0,"0/195",""
"GO:0019826","GO:0019826","oxygen sensor activity",0,"0/195",""
"GO:0035991","GO:0035991","nitric oxide sensor activity",0,"0/195",""
"GO:0061891","GO:0061891","calcium ion sensor activity",0,"0/195",""
"GO:0070027","GO:0070027","carbon monoxide sensor activity",0,"0/195",""
"GO:0097063","GO:0097063","cadmium ion sensor activity",0,"0/195",""
"GO:0097077","GO:0097077","copper ion sensor activity",0,"0/195",""
"GO:0106219","GO:0106219","zinc ion sensor activity",0,"0/195",""
"GO:0106254","GO:0106254","lipid sensor activity",0,"0/195",""
"GO:0120285","GO:0120285","tyrosine sensor activity",0,"0/195",""
"GO:0120286","GO:0120286","tryptophan sensor activity",0,"0/195",""
"GO:0140442","GO:0140442","peroxide sensor activity",0,"0/195",""
"GO:0140482","GO:0140482","iron sensor activity",0,"0/195",""
"GO:0140550","GO:0140550","phosphatidylinositol-4,5-bisphosphate sensor activity",0,"0/195",""
"GO:0140612","GO:0140612","DNA damage sensor activity",0,"0/195",""
"GO:0097351","GO:0097351","toxin sequestering activity",0,"0/195",""
"GO:0140311","GO:0140311","protein sequestering activity",0,"0/195",""
"GO:0140319","GO:0140319","receptor decoy activity",0,"0/195",""
"GO:0140487","GO:0140487","metal ion sequestering activity",0,"0/195",""
"GO:0140610","GO:0140610","RNA sequestering activity",0,"0/195",""
"GO:0000497","GO:0000497","DNA template activity",0,"0/195",""
"GO:0140490","GO:0140490","microtubule nucleator activity",0,"0/195",""
"GO:0140523","GO:0140523","GTPase-dependent fusogenic activity",0,"0/195",""
"GO:0004176","GO:0004176","ATP-dependent peptidase activity",0,"0/195",""
"GO:0004386","GO:0004386","helicase activity",2,"2/195","CHD2/CHD8"
"GO:0008094","GO:0008094","ATP-dependent activity, acting on DNA",2,"2/195","CHD2/CHD8"
"GO:0008186","GO:0008186","ATP-dependent activity, acting on RNA",0,"0/195",""
"GO:0008568","GO:0008568","microtubule-severing ATPase activity",0,"0/195",""
"GO:0015645","GO:0015645","fatty acid ligase activity",0,"0/195",""
"GO:0016887","GO:0016887","ATP hydrolysis activity",2,"2/195","CHD2/CHD8"
"GO:0030899","GO:0030899","calcium-dependent ATPase activity",0,"0/195",""
"GO:0036310","GO:0036310","ATP-dependent DNA/DNA annealing activity",0,"0/195",""
"GO:0036402","GO:0036402","proteasome-activating activity",0,"0/195",""
"GO:0042626","GO:0042626","ATPase-coupled transmembrane transporter activity",1,"1/195","SLC1A1"
"GO:0070463","GO:0070463","tubulin-dependent ATPase activity",0,"0/195",""
"GO:0140326","GO:0140326","ATPase-coupled intramembrane lipid transporter activity",0,"0/195",""
"GO:0140545","GO:0140545","protein disaggregase activity",0,"0/195",""
"GO:0140663","GO:0140663","ATP-dependent FeS chaperone activity",0,"0/195",""
"GO:1990833","GO:1990833","clathrin-uncoating ATPase activity",0,"0/195",""
