"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019001","GO:0019001","guanyl nucleotide binding","15/178","398/18368",8.05065559022596e-06,0.000252924763126266,0.000170193683968812,"GUCY1A2/KRAS/RHOB/RAB35/DIRAS3/SLC19A1/NRAS/HRAS/ARF6/RAB2A/RAB11A/RAB5C/RAB5A/RAB9A/RAB4A",15
"GO:0032561","GO:0032561","guanyl ribonucleotide binding","15/178","398/18368",8.05065559022596e-06,0.000252924763126266,0.000170193683968812,"GUCY1A2/KRAS/RHOB/RAB35/DIRAS3/SLC19A1/NRAS/HRAS/ARF6/RAB2A/RAB11A/RAB5C/RAB5A/RAB9A/RAB4A",15
"GO:0005525","GO:0005525","GTP binding","14/178","377/18368",1.92049236648692e-05,0.000556942786281206,0.000374768146010807,"GUCY1A2/KRAS/RHOB/RAB35/DIRAS3/NRAS/HRAS/ARF6/RAB2A/RAB11A/RAB5C/RAB5A/RAB9A/RAB4A",14
"GO:0005484","GO:0005484","SNAP receptor activity","5/178","36/18368",2.38742891184361e-05,0.000641560353809957,0.000431707511568336,"STX7/STX6/SNAP23/STX4/YKT6",5
"GO:0003924","GO:0003924","GTPase activity","13/178","337/18368",2.58759139707561e-05,0.000641560353809957,0.000431707511568336,"KRAS/RHOB/RAB35/DIRAS3/NRAS/HRAS/ARF6/RAB2A/RAB11A/RAB5C/RAB5A/RAB9A/RAB4A",13
"GO:0005516","GO:0005516","calmodulin binding","10/178","201/18368",2.72280256258868e-05,0.000641560353809957,0.000431707511568336,"CASK/SNTB2/SNTA1/SNTB1/NOS1/GRIN1/EPB41/MARCKS/ADD3/ATP2B1",10
"GO:0004970","GO:0004970","ionotropic glutamate receptor activity","4/178","19/18368",2.94951364522334e-05,0.000654098026028942,0.000440144141485341,"GRIN2A/GRIN1/GRIN3A/GRIN2C",4
"GO:0005385","GO:0005385","zinc ion transmembrane transporter activity","4/178","21/18368",4.48590714766157e-05,0.000922531423015929,0.000620773622635317,"SLC30A1/SLC39A6/SLC39A14/SLC39A10",4
"GO:0044325","GO:0044325","transmembrane transporter binding","8/178","133/18368",4.6493626093641e-05,0.000922531423015929,0.000620773622635317,"DLG1/SNTA1/NOS1/LYN/CAV1/ANK3/PANX1/YES1",8
"GO:0051015","GO:0051015","actin filament binding","10/178","217/18368",5.21615130790163e-05,0.000983244521539458,0.000661627613265418,"DMD/UTRN/CTNNAL1/CTNNA1/ABLIM1/MARCKS/ADD3/EZR/PANX1/FERMT2",10
"GO:0015294","GO:0015294","solute:cation symporter activity","7/178","104/18368",6.8728273698529e-05,0.0012338361516355,0.000830251326383233,"SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/SLC39A14/SLC38A1",7
"GO:0015370","GO:0015370","solute:sodium symporter activity","6/178","73/18368",7.5680203085244e-05,0.00129688348014259,0.00087267602600688,"SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/SLC38A1",6
"GO:0015291","GO:0015291","secondary active transmembrane transporter activity","10/178","240/18368",0.000120469119099848,0.00197457829022811,0.00132869850047459,"SLC19A1/SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/SLC7A5/SLC39A14/SLC38A1/SLC3A2",10
"GO:0008066","GO:0008066","glutamate receptor activity","4/178","27/18368",0.000125702596725397,0.00197457829022811,0.00132869850047459,"GRIN2A/GRIN1/GRIN3A/GRIN2C",4
"GO:0035591","GO:0035591","signaling adaptor activity","6/178","81/18368",0.000135352455469338,0.00202191113684748,0.00136054888728254,"KHDRBS1/MPP7/MAGI2/SHANK2/FRS2/DLG5",6
"GO:0086080","GO:0086080","protein binding involved in heterotypic cell-cell adhesion","3/178","11/18368",0.000139442147368791,0.00202191113684748,0.00136054888728254,"CXADR/DSC2/DSG2",3
"GO:0008013","GO:0008013","beta-catenin binding","6/178","85/18368",0.000176672387318382,0.00246687000070481,0.00165996278143197,"CTNNA1/CXADR/GJA1/DLG5/NUMB/CDH1",6
"GO:0017166","GO:0017166","vinculin binding","3/178","12/18368",0.000184598790929122,0.00248549086358139,0.00167249280503452,"DMD/UTRN/CTNNA1",3
"GO:0022853","GO:0022853","active ion transmembrane transporter activity","10/178","267/18368",0.000285205606776257,0.00370767288809134,0.00249490204112806,"SLC19A1/SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/ATP2B1/SLC39A14/SLC38A1/SLC3A2",10
"GO:0015085","GO:0015085","calcium ion transmembrane transporter activity","7/178","135/18368",0.00034846793502432,0.00426915049906333,0.00287272168162575,"GRIN2A/GRIN1/GRIN3A/GRIN2C/ATP2B1/PANX1/SLC3A2",7
"GO:0004713","GO:0004713","protein tyrosine kinase activity","7/178","136/18368",0.000364420284727408,0.00426915049906333,0.00287272168162575,"ERBB4/LYN/LCK/PEAK1/ROR2/EPHA2/YES1",7
"GO:0042043","GO:0042043","neurexin family protein binding","3/178","15/18368",0.000373692218750902,0.00426915049906333,0.00287272168162575,"NLGN1/NLGN2/CASK",3
"GO:0050998","GO:0050998","nitric-oxide synthase binding","3/178","15/18368",0.000373692218750902,0.00426915049906333,0.00287272168162575,"SNTA1/DMD/CAV1",3
"GO:0046915","GO:0046915","transition metal ion transmembrane transporter activity","4/178","37/18368",0.000438650077910394,0.00478223758138857,0.00321797921852477,"SLC30A1/SLC39A6/SLC39A14/SLC39A10",4
"GO:0008514","GO:0008514","organic anion transmembrane transporter activity","8/178","185/18368",0.000452680292840126,0.00478223758138857,0.00321797921852477,"GJA1/SLC19A1/SLC6A8/SLC38A2/SLC4A7/SLC7A5/SLC38A1/SLC3A2",8
"GO:0005283","GO:0005283","amino acid:sodium symporter activity","3/178","16/18368",0.000456659291591482,0.00478223758138857,0.00321797921852477,"SLC38A2/SLC6A15/SLC38A1",3
"GO:0015175","GO:0015175","neutral amino acid transmembrane transporter activity","4/178","38/18368",0.000486574450737345,0.00489298106732092,0.00329249877767512,"SLC38A2/SLC7A5/SLC38A1/SLC3A2",4
"GO:0022843","GO:0022843","voltage-gated cation channel activity","7/178","143/18368",0.000493191725618555,0.00489298106732092,0.00329249877767512,"GRIN2A/KCNJ12/KCNJ4/KCNA4/GRIN1/GRIN3A/GRIN2C",7
"GO:0015293","GO:0015293","symporter activity","7/178","144/18368",0.000514222962666402,0.00491640300731932,0.00330825945766845,"SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/SLC39A14/SLC38A1",7
"GO:0008022","GO:0008022","protein C-terminus binding","8/178","189/18368",0.000521634271333615,0.00491640300731932,0.00330825945766845,"DLG3/DLG1/SNTG1/MPDZ/EPB41/LCK/HRAS/EZR",8
"GO:0019902","GO:0019902","phosphatase binding","8/178","196/18368",0.000662650700480985,0.0060931540019837,0.00410009804405436,"DLG3/DLG1/DTNA/GRIN3A/MAGI2/PARD3/PHACTR4/LCK",8
"GO:0000149","GO:0000149","SNARE binding","6/178","110/18368",0.000709052449093566,0.00622001301626413,0.00418546178115218,"STX7/STX6/SNAP23/STX4/RAB11A/RAB4A",6
"GO:0015081","GO:0015081","sodium ion transmembrane transporter activity","7/178","152/18368",0.000709444455435961,0.00622001301626413,0.00418546178115218,"SLC6A8/SLC38A2/SLC6A15/SLC12A2/SLC4A7/SLC38A1/SLC3A2",7
"GO:0019905","GO:0019905","syntaxin binding","5/178","74/18368",0.000758251046640696,0.00649683283144415,0.00437173450335904,"STX7/STX6/SNAP23/RAB11A/RAB4A",5
"GO:0099094","GO:0099094","ligand-gated cation channel activity","6/178","113/18368",0.000816709358826699,0.00684220951728145,0.00460413930940899,"GRIN2A/KCNJ12/KCNJ4/GRIN1/GRIN3A/GRIN2C",6
"GO:0001618","GO:0001618","virus receptor activity","5/178","76/18368",0.0008562054516934,0.00701716207148721,0.00472186530567756,"CXADR/EFNB2/LAMP1/EPHA2/ITGB1",5
"GO:0050145","GO:0050145","nucleoside monophosphate kinase activity","3/178","20/18368",0.000903502943682671,0.00713609563460847,0.00480189598754891,"DLG2/DLG1/CASK",3
"GO:0140272","GO:0140272","exogenous protein binding","5/178","77/18368",0.00090857451050718,0.00713609563460847,0.00480189598754891,"CXADR/EFNB2/LAMP1/EPHA2/ITGB1",5
"GO:0004715","GO:0004715","non-membrane spanning protein tyrosine kinase activity","4/178","45/18368",0.000931726725231491,0.00716859133494433,0.00482376242278817,"LYN/LCK/PEAK1/YES1",4
"GO:0008509","GO:0008509","anion transmembrane transporter activity","10/178","314/18368",0.0010039957070074,0.00757012763083578,0.00509395716607964,"GJA1/SLC19A1/SLC6A8/SLC38A2/SLC12A2/SLC4A7/SLC7A5/SLC39A14/SLC38A1/SLC3A2",10
"GO:0005416","GO:0005416","amino acid:cation symporter activity","3/178","22/18368",0.00120327280361686,0.0087237278262222,0.00587021752371786,"SLC38A2/SLC6A15/SLC38A1",3
"GO:0072349","GO:0072349","modified amino acid transmembrane transporter activity","3/178","22/18368",0.00120327280361686,0.0087237278262222,0.00587021752371786,"GJA1/SLC19A1/SLC6A8",3
"GO:0004714","GO:0004714","transmembrane receptor protein tyrosine kinase activity","6/178","124/18368",0.00132279509912977,0.00921628511847477,0.00620166051529365,"ERBB4/LYN/LCK/ROR2/EPHA2/YES1",6
"GO:0001540","GO:0001540","amyloid-beta binding","5/178","84/18368",0.00134455087935308,0.00921628511847477,0.00620166051529365,"NLGN1/GRIN2A/APBA1/GRIN1/DLGAP3",5
"GO:0015171","GO:0015171","amino acid transmembrane transporter activity","5/178","84/18368",0.00134455087935308,0.00921628511847477,0.00620166051529365,"SLC38A2/SLC6A15/SLC7A5/SLC38A1/SLC3A2",5
"GO:0030159","GO:0030159","signaling receptor complex adaptor activity","4/178","50/18368",0.00138704923329508,0.00933781358843296,0.00628343731624276,"MAGI2/SHANK2/FRS2/DLG5",4
